Adjective,Count
great,35
beautiful,22
good,14
little,13
nice,13
friendly,13
wonderful,10
wine,10
outside,8
perfect,8
cute,7
hidden,7
able,6
best,6
helpful,6
favorite,6
super,5
magical,5
Beautiful,5
cool,5
Good,5
small,4
free,4
amazing,4
gorgeous,4
Great,4
first,4
live,4
huge,4
delicious,4
eclectic,4
relaxing,4
delightful,4
lovely,4
special,3
excellent,3
cozy,3
romantic,3
red,3
peaceful,3
knowledgeable,3
quiet,3
easy,3
next,3
right,3
uptown,3
certain,2
dirty,2
available,2
full,2
new,2
reasonable,2
unique,2
sure,2
private,2
long,2
Such,2
limited,2
Live,2
idyllic,2
vibe,2
different,2
whole,2
sweet,2
stunning,2
quaint,2
outdoor,2
iced,2
hot,2
warm,2
cutest,2
cold,2
fun,2
Gorgeous,2
Awesome,2
social,2
old,2
attentive,2
safe,2
secret,2
Perfect,2
back,2
easiest,1
prior,1
inside-,1
pod-,1
deli,1
regular,1
basic,1
actual,1
t-light,1
last,1
picky,1
required,1
scaled,1
lovely-,1
pleasant,1
smallish,1
near,1
expansive,1
quick,1
wide,1
strawberry,1
seasonal,1
top,1
lucky,1
rainy,1
empty,1
chillier,1
requested,1
vegan,1
e,1
lit,1
spacious,1
adorable,1
buggy,1
last-minute,1
lazy,1
local,1
Ecpensive,1
Outside,1
picnic,1
colorful,1
comfortable,1
single,1
fiti,1
daily,1
favs,1
close,1
artistic,1
divine,1
quiet/private,1
lush,1
many,1
talented,1
newfound,1
garden,1
😍,1
Limited,1
expensive,1
entire,1
serene,1
full-time,1
half,1
sunny,1
loose,1
leaf,1
fantastic,1
happy,1
desire,1
Knowledgeable,1
suitable,1
interested,1
horrible,1
unfamiliar,1
overflow,1
Other,1
night/,1
solo,1
positive,1
edible,1
terrible,1
friendly/helpful,1
inside,1
tasty,1
fresh,1
Amazing,1
nicer,1
real,1
secluded,1
pretty,1
loud,1
residential,1
nightmare,1
larger,1
smaller,1
late,1
ethereal,1
OK,1
Spanish,1
white,1
deep,1
affordable,1
dynamic,1
usual,1
downtown,1
se,1
heavy,1
better,1
sitio,1
una,1
un,1
short,1
particular,1
damn,1
personable,1
distanced,1
wow,1
ok,1
chill,1
I-277,1
Adorable,1
courteous,1
Staff,1
adjacent,1
calm,1
distant,1
open,1
like,1
domestic,1
Incredible,1
atmosphere,1
Terrible,1
used,1
garden-ish,1
disappointed,1
covid,1
Quaint,1
multiple,1
legitimate,1
unfair,1
retail,1
night/day,1
Fantastic,1
luscious,1
past,1
crowded,1
must-see,1
unpretentious,1
busy,1
nights-,1
