Adjective,Count
great,59
good,51
Great,22
best,22
delicious,17
amazing,16
friendly,14
nice,13
cool,12
awesome,11
Good,10
different,10
favorite,9
little,8
excellent,8
knowledgeable,7
super,7
sour,6
perfect,6
tasty,6
interesting,5
unique,5
large,5
nitro,5
relaxed,4
small,4
fantastic,4
busy,4
incredible,4
helpful,4
long,4
quick,4
Amazing,4
next,4
beautiful,4
local,4
first,3
wonderful,3
open,3
chill,3
full,3
phenomenal,3
big,3
solid,3
Friendly,3
regular,3
comfortable,3
huge,3
classic,3
cheese,3
new,3
quiet,3
upstairs,3
Awesome,3
fine,3
wide,3
fav,3
decent,3
longest,3
wine,2
spicy,2
second,2
Such,2
eclectic,2
diverse,2
much,2
busier,2
usual,2
happy,2
sure,2
overall,2
top,2
pretty,2
Nice,2
go-to,2
unusual,2
cute,2
experiential,2
tap,2
general,2
many,2
impressed,2
casual,2
due,2
vibe,1
cutest,1
sofa,1
Detroit-style,1
elite,1
dumb,1
welcoming,1
early,1
god-awful,1
hot,1
chili,1
inedible,1
terrific,1
sized,1
welcome,1
yummy,1
fun,1
Spanish,1
upbeat,1
thick,1
filling,1
salted,1
sweet,1
started,1
least,1
dark,1
Incredible,1
superb,1
pleasant,1
vast,1
special,1
attentive,1
unmatched,1
Wish,1
humble,1
cauliflower,1
main,1
personal,1
smaller,1
diced,1
Cool,1
Horrible,1
trash,1
glad,1
First,1
massive,1
efficient,1
able,1
crispy,1
true,1
non,1
alcoholic,1
truffle,1
cheap,1
pricey,1
bountiful,1
table,1
chair/couch,1
downtown,1
innovative,1
last,1
lounge-style,1
flatbread,1
shy,1
outrageous,1
crunchy,1
higher,1
extra,1
blue,1
weird,1
wouild,1
go,1
impresionante,1
voy,1
una,1
Hard-hitting,1
Big,1
shuffleboard,1
spottieottidopalicious,1
dank,1
wish,1
Already,1
light,1
thin,1
hungry,1
tad,1
limited,1
conscientious,1
Top,1
pandemic,1
difficult,1
safe,1
Large,1
crafted,1
several,1
upstairs-,1
ok,1
Colombian,1
official,1
national,1
old,1
worst,1
favourite,1
easy,1
Small,1
boho,1
spacious,1
fellow,1
er,1
Mexican,1
natural,1
Solid,1
loud,1
steep,1
Wonderful,1
soo,1
mid-day,1
current,1
pretentious,1
horrible,1
simple,1
abstract,1
lounge,1
rare,1
typical,1
Underated,1
Highest,1
noncommercial,1
latino,1
lowkey,1
chill/lax,1
AMAZING,1
funky,1
atmosphere,1
anniversary,1
double,1
Knowledgeable,1
wrong,1
hip,1
neopolitan,1
Other,1
flavorful,1
🔥,1
better,1
original,1
enjoyable,1
crowded,1
Overall,1
trendy,1
less,1
disappointed,1
gose,1
multiple,1
recent,1
always-changing,1
louder,1
Gorgeous,1
Fantastic,1
separate,1
license,1
oz,1
major,1
ordinary,1
seasonal,1
refreshing,1
entire,1
refined,1
loungey,1
decor-,1
