Adjective,Count
great,110
good,88
friendly,50
nice,43
best,39
little,34
Good,34
small,29
local,28
delicious,25
Great,25
cold,22
hot,21
favorite,18
cool,18
amazing,17
awesome,17
much,16
super,15
outdoor,14
outside,13
wonderful,13
quick,12
excellent,11
cute,11
better,10
iced,10
sure,10
perfect,10
first,9
cozy,9
tasty,8
different,8
busy,8
strong,8
open,8
free,8
Excellent,8
fresh,8
big,7
bad,7
Ethiopian,7
second,7
Friendly,7
Amazing,7
black,6
sweet,6
regular,6
limited,6
fine,6
many,6
smooth,6
Best,6
available,6
comfortable,6
wrong,5
old,5
roasted,5
due,5
bitter,5
ok,5
long,5
happy,5
cheese,5
eclectic,5
hard,5
unique,5
new,5
quirky,5
next,4
disappointing,4
whole,4
fantastic,4
helpful,4
decent,4
pleasant,4
toasted,4
knowledgeable,4
baked,4
solid,4
enough,4
espresso,4
chai,4
less,3
ceramic,3
various,3
beautiful,3
dark,3
Such,3
terrible,3
entire,3
atmosphere,3
sugar,3
top,3
frozen,3
Cute,3
true,3
impressed,3
worth,3
indoor,3
clean,3
important,3
fair,3
right,3
personal,3
rich,3
loud,3
vegan,3
Nice,3
disappointed,2
popular,2
odd,2
standard,2
high,2
hungry,2
least,2
covid,2
full,2
Overall,2
simple,2
caramel,2
young,2
Wish,2
flavorful,2
extra,2
alcoholic,2
near,2
last,2
normal,2
easy,2
bean,2
positive,2
special,2
prepared,2
Long,2
cat,2
huge,2
place-the,2
modern,2
dirty,2
interior,2
seating,2
Small,2
crowded,2
cafe,2
blended,2
funky,2
сожалению,2
pet,2
rude,2
rustic,2
patient,2
Fantastic,2
favourite,2
expensive,2
Ecuadorian,2
yummy,2
sized,2
organic,2
artsy,2
Real,2
go-to,2
quiet,2
bang-for-buck,1
imo,1
Little,1
unlocked,1
ambient,1
tiny,1
odeko,1
successful,1
realistic,1
pour,1
underwhelming,1
non-existent,1
inconvenient,1
Helpful,1
scrumptious,1
pitiful,1
ridiculous,1
evil,1
middle,1
wait,1
disruptive,1
herbal,1
ample,1
inside,1
aesthetic,1
spiced,1
front,1
write,1
hesitant,1
hipster,1
ten,1
awkward,1
iPad,1
respectable,1
Terrible,1
Positive,1
half,1
complete,1
constant,1
unbalanced,1
slow,1
plain,1
fabulous,1
uncomfortable,1
Second,1
in/around/near,1
OK,1
sooooooo,1
First,1
Dreary,1
cats,1
dope,1
lemon,1
Italian,1
obvious,1
tea,1
lacked,1
cashier,1
double,1
modest-,1
to-go,1
adorable,1
spacious,1
vibes,1
allow,1
quite,1
incredible,1
clear,1
smile,1
convenient,1
worthy,1
come,1
welcome,1
dog,1
minimal,1
affordable,1
exterior,1
medical,1
crazy,1
ur,1
sorta,1
noda,1
automatic,1
consistent,1
ballpeen,1
Post-Demic,1
recommend,1
aware,1
gross,1
lactose,1
intolerant,1
joint,1
Beautiful,1
single,1
Wi-Fi,1
enthusiastic,1
helpfully,1
fancy,1
social,1
smelly,1
enjoyable,1
awful,1
vicious,1
sustainable,1
individual,1
—-,1
neutral,1
public,1
friends,1
theme,1
interested,1
“,1
private,1
straw,1
staple,1
higher,1
average,1
generous,1
ripe,1
late,1
general,1
👍🏼,1
immaculate,1
confident,1
professional,1
hip,1
beaded,1
definite,1
Delicious,1
mild,1
Perfect,1
slways,1
avid,1
past,1
six-year-old,1
actual,1
inconsistent,1
Central,1
American,1
boyfriend,1
Cant,1
upbeat,1
Hear,1
excited,1
solo,1
alternative,1
Pleasant,1
real,1
suffient,1
Tasty,1
large,1
dive,1
early,1
acceptable,1
knowledgable,1
delightful,1
frills,1
bold,1
Only,1
Other,1
calm,1
barrista,1
gender-neutral,1
glad,1
proper,1
marshmallow,1
fruity,1
v,1
purrfect,1
bud,1
superb,1
theur,1
funny,1
multiple,1
fun,1
basic,1
reasonable,1
deep,1
picky,1
cozy❤️❤️❤️,1
tasteless,1
по,1
какой-то,1
но,1
snarky,1
anytime,1
Quiet,1
dog-friendly,1
must-try,1
song-,1
award-winning,1
charming,1
humid,1
bright,1
delecious,1
attentive,1
serious,1
Super-consistent,1
covered,1
previous,1
luke,1
unethical,1
separate,1
Disappointed,1
personable,1
brown,1
patience,1
several,1
highway,1
um,1
passive,1
aggressive,1
unprofessional,1
deelish,1
Norwegian,1
courteous,1
boisterous,1
Ample,1
warm,1
fuzzy,1
comfy,1
pre-prepared,1
unavoidable,1
High,1
Vietnamese,1
closer,1
pumpkin,1
GOOD,1
chill,1
top-quality,1
bakery,1
eager,1
neighborhood,1
authentic,1
longer,1
non-chain,1
pure,1
weird,1
interesting,1
cramped,1
impossible,1
sun,1
incomparable,1
coffee-,1
major,1
adjustable,1
Awesome,1
bomb,1
caffeinated,1
usual,1
attractive,1
eccentric,1
go,1
upcoming,1
overpriced,1
quaint,1
Local,1
okay,1
overall,1
delectable,1
Wonderful,1
vegetarian,1
house-roasted,1
creative,1
Rustic,1
electrical,1
significant,1
Cheese,1
egg,1
polite,1
Ready,1
trendy,1
coffee,1
Lovely,1
read,1
nearby,1
Incredible,1
soy,1
goods-,1
reminiscent,1
delish,1
Quintessential,1
fanatic,1
skim,1
minimum,1
able,1
tricky,1
outstanding,1
welcoming,1
wish,1
neat,1
peaceful,1
rid,1
standoff-ish,1
