Adjective,Count
great,30
good,16
Stable,11
friendly,11
nice,9
best,8
delicious,7
favorite,6
new,6
little,5
natural,4
super,4
amazing,4
hot,4
small,4
Good,4
unique,3
Excellent,3
tasty,3
iced,3
open,3
outside,3
sweet,3
savory,2
Great,2
outdoor,2
able,2
cold,2
rude,2
close,2
pricey,2
soft,2
white,2
better,2
scrambled,2
ready,2
busy,2
seasonal,2
much,2
fantastic,2
excellent,2
solid,2
Delicious,2
delightful,2
entire,1
sophisticated,1
dish,1
simple,1
vibrant,1
low-key,1
right,1
spectacular,1
mid,1
happy,1
Honorable,1
pecan,1
almond,1
standard,1
whole,1
free,1
Penn,1
monthly,1
huge,1
modern,1
higher-end,1
Fabulous,1
coffee/wine,1
optional,1
slow,1
coffee,1
Small,1
lore,1
clean,1
minimalistic,1
prepared,1
lumpy,1
ok,1
cute,1
flavorful,1
raw,1
funny,1
high-quality,1
dialed,1
Finish,1
sterile,1
horrible,1
adorable,1
yummy,1
wine,1
Last,1
high,1
early,1
awake,1
pretty,1
breakdown,1
flakey,1
somehow,1
thick,1
single,1
awesome,1
steady,1
local,1
warm,1
bad,1
bright,1
😎,1
decent,1
legit—,1
Impeccable,1
latte,1
young,1
full,1
helpful,1
polite,1
Unpretentious,1
large,1
Best,1
possible,1
avocado,1
Fantastic,1
easy-going,1
Phenomenal,1
wrong,1
quick,1
perfect,1
Incredible,1
buenos,1
tasted,1
Spacious,1
Uptown,1
top,1
gorgeous,1
many,1
scare,1
you-,1
Beautiful,1
cosier,1
glad,1
enough,1
welcome,1
time-efficient,1
black,1
incredible,1
knowledgeable,1
unforgettable,1
short,1
wonderful,1
interesting,1
Wonderful,1
More,1
..,1
contemporary,1
popular,1
non,1
pretentious,1
bottled,1
reasonable,1
corral-style,1
legit,1
Adorable,1
casual,1
Casual,1
