Adjective,Count
great,39
friendly,29
good,20
nice,19
rude,11
quick,10
Great,9
open,9
much,8
new,8
Good,8
clean,7
extra,7
super,7
busy,7
little,6
least,6
hot,5
right,5
fast,5
best,5
loud,5
Nice,5
wrong,4
everyday,4
better,4
last,4
different,4
positive,4
long,4
fantastic,4
first,4
hard,4
mobile,3
small,3
fresh,3
white,3
multiple,3
iced,3
usual,3
next,3
short,3
light,3
Best,3
helpful,3
free,3
high,3
black,3
quiet,3
Happy,3
slow,2
nasty,2
seasonal,2
flavored,2
old,2
real,2
past,2
perfect,2
Spacious,2
particular,2
tall,2
several,2
frustrating,2
wonderful,2
worst,2
professional,2
awful,2
unprofessional,2
drive-thru,2
favorite,2
Friendly,2
cold,2
fastest,2
rainy,2
excellent,2
dark,2
roomy,2
acoustic,2
bad,2
close,2
negative,2
difficult,2
late,2
Other,2
crowded,2
worse,2
green,2
awesome,2
horrible,2
comfortable,2
noisy,2
amazing,2
typical,2
large,2
many,2
sure,2
soy,2
courteous,1
prompt,1
strange,1
impressed,1
proud,1
neighboring,1
due,1
careful,1
slower,1
greatest,1
daily,1
basic,1
young,1
16-19,1
runny,1
mixed,1
2-3,1
up-charged,1
regular,1
disappointed,1
🤦Very,1
amaze,1
teddy,1
delightful,1
fine,1
Most,1
exact,1
specific,1
like,1
venti,1
appropriate,1
sorry,1
welcome,1
notice,1
Quite,1
pleased,1
fabulous,1
patient,1
unreliable,1
easiest,1
misleading,1
ridiculous-,1
numerous,1
online,1
frequent,1
unknown,1
website,1
interesting,1
single,1
knowledgeable,1
ipad,1
common,1
thank,1
Noce,1
closest,1
third,1
random,1
incorrect,1
sweet,1
..,1
important,1
sll,1
Terrible,1
Drive-thru,1
watered,1
ready,1
sugar,1
pleasant,1
drive,1
overall,1
iconic,1
present,1
brown,1
Cold,1
attended,1
retail,1
certain,1
pretty,1
phenomenal,1
delicious,1
accurate,1
Uncomfortable,1
louder,1
Excellent,1
grande,1
piensan,1
wish,1
tight,1
tough,1
successful,1
Mobile,1
lol,1
spacious,1
table,1
espresso,1
enough,1
decent,1
Amazing,1
NEW,1
Satisfied,1
terrible,1
Yummy,1
Consistent,1
plastic,1
upbeat,1
interested,1
First,1
Basic,1
average,1
Fair,1
ice,1
possible,1
able,1
human,1
biggest,1
Decent,1
teenage/early,1
suburban,1
largest,1
larger,1
uncomfortable,1
happy,1
Limited,1
avaliable,1
double,1
else,1
fit,1
undrinkable,1
interstate,1
Many,1
individual,1
liberal,1
THIS,1
High,1
beautiful,1
simple,1
Loudest,1
tasty,1
energetic,1
Big,1
convenient,1
on/off,1
correct,1
outdoor,1
lit,1
natural,1
airy,1
sad,1
upset,1
overpriced,1
less,1
luck,1
sassy,1
Typical,1
um,1
laptop,1
external,1
Beautiful,1
ample,1
bigger,1
Newest,1
serious,1
modern,1
attentive,1
crafted,1
approx,1
immense,1
Large,1
grouping,1
faster,1
quicker,1
sloppy,1
experienced,1
