Adjective,Count
good,39
great,35
friendly,32
nice,17
busy,14
cozy,13
favorite,13
best,12
sure,12
Great,10
clean,9
Good,9
bad,9
first,8
worst,8
excellent,8
little,8
many,8
iced,7
beautiful,7
able,7
long,7
rude,7
comfortable,7
awesome,7
hot,6
delicious,6
wrong,6
mobile,6
extra,6
better,6
huge,6
interior,6
Friendly,6
quick,6
Nice,6
last,5
fast,5
dirty,5
terrible,5
enough,5
empty,5
next,5
full,5
warm,5
cool,5
easy,5
young,5
new,5
horrible,5
outside,4
spacious,4
second,4
specific,4
cold,4
short,4
particular,4
right,4
disappointed,4
back,4
open,4
hard,4
usual,4
wonderful,4
seasonal,4
perfect,4
old,4
free,4
available,4
quiet,4
poor,4
tight,4
difficult,4
small,4
overall,4
big,4
u,3
super,3
regular,3
much,3
multiple,3
happy,3
courteous,3
due,3
high,3
Xavier,3
cute,3
filthy,3
nasty,3
helpful,3
dedicated,3
loud,3
interesting,3
typical,3
different,3
pleasant,3
Cool,3
least,3
designated,3
crazy,3
tough,2
converted,2
large,2
Overall,2
actual,2
responsible,2
light,2
positive,2
white,2
consistent,2
uncomfortable,2
half,2
upper,2
left,2
Wish,2
frustrating,2
limited,2
Excellent,2
efficient,2
decent,2
older,2
Best,2
Rustic,2
personable,2
Typical,2
unprofessional,2
finished,2
black,2
popular,2
careful,2
Awesome,2
fantastic,2
Favorite,2
Much,2
bitter,2
green,2
unique,2
possible,2
scary,2
crowded,2
rough,2
*,2
unmarked,2
Courteous,1
deceptive,1
random,1
major,1
non-verbal,1
3rd,1
Terrible,1
ordered,1
whole,1
ms,1
exciting,1
go-to,1
aware,1
necessary,1
nitro,1
competent,1
slower,1
service-challenged,1
fast-working,1
dumb,1
upsetting,1
profitable,1
⭐️,1
indoor,1
yellow,1
loyal,1
general,1
phenomenal,1
therefor,1
appreciated,1
seating,1
friendliest,1
amazing,1
entire,1
sorry,1
gross,1
mid-day,1
solid,1
outstanding,1
infectious,1
cheerful,1
iconic,1
app,1
covid,1
nose,1
table,1
incredibly,1
weird,1
awkward,1
strange,1
lil,1
mejor,1
polite,1
utterly,1
ONLY,1
ungodly,1
square,1
clown,1
GOOD,1
tasty,1
Unbelievable,1
tall,1
Original,1
es,1
más,1
muchas,1
diseño,1
servicio,1
una,1
rustic,1
כרגיל,1
level,1
roomy,1
sweet,1
tiny,1
several,1
low,1
soft,1
Other,1
curb,1
contact-less,1
Such,1
True,1
Walk-In,1
First,1
cafe,1
swift,1
environmental,1
accurate,1
true,1
mild,1
natural,1
impossible,1
unfortunate,1
daily,1
exceptional,1
familiar,1
understanding,1
patient,1
thank,1
appreciative,1
pumpkin,1
eclectic,1
Top,1
Green,1
delightful,1
stop,1
Big,1
ample,1
relaxing,1
enjoyable,1
exterior,1
..,1
upside,1
taught,1
therapeutic,1
Beautiful,1
relaxed,1
respectful,1
higher,1
saddest,1
tomato,1
home-y,1
plus,1
bread,1
awful,1
deemed,1
wifey,1
professional,1
expensive,1
knowledgeable,1
independent,1
Expensive,1
interested,1
시원한,1
햇볕을,1
obnoxious,1
newer,1
overwhelmed,1
messy,1
gapph,1
Slowest,1
co,1
inexcusable,1
slow-moving,1
odd,1
ready,1
pre-made,1
shaken,1
slow,1
time-management,1
wish,1
grumpy,1
worthy,1
thermos,1
Careful,1
front,1
historic,1
close,1
sloppy,1
unclean,1
tha,1
downtown,1
Wonderful,1
common,1
certain,1
personal,1
ridiculous,1
superficial,1
bathrooms,1
lovely,1
wall,1
heavy,1
fresh,1
stuff,1
organized,1
ta,1
adorable,1
15-30,1
closer,1
girl,1
Limited,1
lower,1
sixth,1
inimitable,1
awkwardly,1
appropriate,1
warmer,1
less,1
lid,1
kinda,1
whipped,1
Wrong,1
Daily,1
grande,1
local,1
calm,1
Comfortable,1
Tall,1
Clean,1
single,1
Ample,1
Starbucks-only,1
street-side,1
accessible,1
neutral,1
prepared,1
mixed,1
fine,1
experienced,1
political,1
tangible,1
LIMITED,1
WARNED,1
quaint,1
used,1
addictive,1
mad,1
negative,1
off-topic,1
Disrespectful,1
hateful,1
grateful,1
Early,1
early,1
putative,1
favs,1
mindful,1
shady,1
French,1
red,1
....,1
dropped,1
unkept,1
bungalow,1
inviting,1
attentive,1
peak,1
interior-,1
Starbucks,1
busiest,1
electrical,1
Mobile,1
Christian,1
feel,1
casual,1
original,1
correct,1
atmosphere,1
generous,1
alternate,1
atrocious,1
legal,1
guys,1
towing,1
despicable,1
in-respectful,1
standard,1
spotty,1
ok,1
parked,1
ya,1
gray,1
thier,1
leyman,1
THIS,1
tow,1
predatory,1
clear,1
distracting,1
owned,1
WiFi,1
bear,1
