Adjective,Count
nice,36
great,28
good,26
friendly,20
busy,16
new,16
wrong,14
slow,13
best,10
hot,10
iced,10
super,10
bad,9
perfect,9
better,8
long,8
last,7
drive-thru,7
favorite,7
happy,6
free,6
sweet,6
Great,6
sure,6
Good,6
quick,6
mobile,6
different,5
right,5
double,5
least,5
professional,5
ready,5
much,5
single,5
clean,5
disappointed,5
rude,4
big,4
bitter,4
pleasant,4
delicious,4
horrible,4
large,4
drive,4
open,4
usual,4
polite,4
worst,4
Friendly,3
little,3
excellent,3
similar,3
tasty,3
helpful,3
many,3
loud,3
slowest,3
efficient,3
Busy,3
decent,3
full,3
white,3
..,3
quiet,3
extra,3
small,3
bright,2
miss,2
exact,2
several,2
First,2
easier,2
angry,2
whole,2
uplifting,2
rich,2
late,2
fine,2
fast,2
close,2
huge,2
awesome,2
10-15,2
speedy,2
courteous,2
hard,2
timely,2
major,2
satisfied,2
glad,2
green,2
slid,2
expensive,2
average,2
casual,2
low,2
daily,2
amazing,2
cool,2
consistent,2
warm,2
Best,2
cold,2
less,2
convenient,2
que,2
black,2
Nice,2
due,2
Average,2
Delicious,2
“,2
correct,2
tall,2
4-5,2
exemplary,1
crew,1
next,1
oh,1
specific,1
past,1
top,1
Patrick,1
general,1
empty,1
delightful,1
smoked,1
destroyed.😒,1
strawberry,1
neutral,1
notary,1
difficult,1
worked,1
true,1
sippy,1
fabulous,1
pretty,1
upsetting,1
laundry,1
accusatory,1
third,1
20-30,1
unacceptable,1
poor,1
unwelcome,1
FAVORITE,1
대화하기,1
cheerful,1
tight,1
acceptable,1
spectacular,1
patient,1
knowledgeable,1
cinnamon,1
thru,1
lucky,1
longer,1
Wish,1
second,1
absolute,1
weak,1
standard,1
local,1
staffing,1
sloooooooowest,1
fab,1
female,1
weird,1
espresso,1
whipped,1
shotty,1
early,1
Multiple,1
crazy,1
caffeinated-up,1
microwaved,1
closest,1
fantastic,1
dirty,1
sandwich,1
solid,1
puttin,1
Wham-Bam,1
inner,1
geek,1
certain,1
rush,1
Amazing,1
live,1
flat,1
stank,1
whip,1
upset,1
decaf,1
joyful,1
poorly,1
....,1
disappointing,1
nasty,1
lil,1
overall,1
Spanish,1
Clean,1
sooo,1
main,1
else,1
fit,1
available,1
shorter,1
darn,1
expedient,1
prefessional,1
reasonable,1
complete,1
Fantastic,1
accurate,1
everyday,1
mocha,1
greatest,1
beautiful,1
easy,1
Corporate,1
typical,1
im,1
constant,1
sweetest,1
rough,1
smaller,1
super-cool,1
diverse,1
straight,1
Satisfied,1
danish,1
high,1
everytime,1
dont,1
Last,1
worth,1
ten,1
Most,1
male,1
seating,1
able,1
fresh,1
superb,1
Every,1
mediocre,1
dangerous,1
apologetic,1
twenty,1
peak,1
Indian,1
Wonderful,1
confusing,1
impossible,1
frustrating,1
curbside,1
simple,1
⭐️⭐️⭐️⭐️⭐️,1
necessary,1
expectant,1
learning,1
frequent,1
common,1
outrageous,1
numerous,1
inconvenient,1
sad,1
hopeful,1
excited,1
bean,1
steady,1
regular,1
inside,1
laptop,1
grand,1
understaffed,1
Overall,1
wonderful,1
endless,1
teen,1
lead,1
thrilled,1
nosh,1
negative,1
Next,1
u,1
come,1
first,1
AWESOME,1
side❣I,1
entire,1
AMAZING,1
human,1
es,1
pre-closing,1
ridiculous,1
15-20,1
tough,1
enough,1
wait,1
vinte,1
flash,1
light,1
positive,1
eager,1
incorrect,1
spacious,1
personable,1
closer,1
farther,1
terrible,1
moderate,1
reusable,1
brief,1
festive,1
Toasted,1
drivethru,1
alternative,1
welcomed,1
bingo,1
esta,1
