Adjective,Count
friendly,12
best,8
good,5
bad,4
Friendly,4
great,4
awesome,3
first,3
quick,3
disappointed,3
several,3
online,3
terrible,3
personable,2
Good,2
early,2
busy,2
Best,2
available,2
excellent,2
sure,2
better,2
favorite,2
top,2
big,2
tucked,2
nice,2
Nice,2
poor,2
little,2
cold,2
Overall,2
awful,1
there…,1
rude,1
smile,1
menu,1
lovely,1
cheerful,1
late,1
Expensive,1
longer,1
usual,1
outdoor,1
Small,1
amazing,1
personal,1
super,1
open,1
disrespectful,1
pleasant,1
cute,1
nasty,1
gross,1
short,1
clean,1
diff,1
weird,1
idk,1
GREAT,1
ready,1
golden,1
consistent,1
prepare,1
go-to,1
south,1
Busy,1
separate,1
caused,1
hot,1
worth,1
first-hand,1
multiple,1
long,1
one-star,1
due,1
math,1
back,1
met,1
comfortable,1
well-managed,1
variable,1
well-produced,1
well-prepared,1
informative,1
forgotten,1
jamal,1
wrong,1
irritable,1
uncomfortable,1
dirty,1
shady,1
strong,1
young,1
dissapointed,1
fast,1
regular,1
Peak,1
Most,1
typical,1
Ample,1
new,1
fastest,1
ample,1
slow,1
fifteen,1
expresso,1
corporate,1
noisy,1
cluttered,1
ok,1
distracted,1
many,1
bitter,1
everyday,1
Skylar,1
high,1
public,1
frankly,1
unsatisfied,1
various,1
sociable,1
intimate,1
difficult,1
tough,1
adequate,1
Surly,1
cranky,1
old,1
brew,1
oblivious,1
