Adjective,Count
wrong,23
great,22
bad,20
good,20
friendly,17
nice,16
open,13
long,12
busy,11
quick,10
mobile,9
drive,9
super,9
rude,9
much,8
Good,8
slow,8
sure,8
horrible,7
new,7
iced,7
last,6
different,6
many,6
second,6
clean,6
best,6
small,6
worst,5
extra,5
whole,5
least,5
big,5
slowest,5
right,5
several,5
Friendly,5
hot,5
drive-thru,5
due,4
corporate,4
sorry,4
high,4
cold,4
pleasant,4
Terrible,4
sweet,4
young,4
Great,4
additional,4
“,4
drive-through,4
correct,4
poor,3
fantastic,3
first,3
perfect,3
delicious,3
little,3
courteous,3
happy,3
less,3
inconsistent,3
past,3
enough,3
early,3
convenient,3
short,3
disappointing,3
white,3
easy,3
oh,2
close,2
miserable,2
middle,2
upstairs,2
helpful,2
favorite,2
excellent,2
inefficient,2
negative,2
regular,2
Clean,2
incorrect,2
possible,2
single,2
special,2
dirty,2
ridiculous,2
understaffed,2
fine,2
loud,2
quicker,2
available,2
main,2
positive,2
amazing,2
attentive,2
lactose,2
closest,2
recent,2
black,2
sad,2
patient,2
Slowest,2
confused,2
terrible,2
classic,2
parking,2
female,2
christian,2
consistent,2
interested,2
better,2
ready,2
pumpkin,2
tasty,2
old,2
multiple,2
Best,2
awesome,2
disappointed,2
establishment,1
dry,1
watery,1
called,1
lazy,1
low-class,1
beautiful,1
unpleasant,1
warm,1
older,1
masked,1
table,1
abusive,1
avid,1
glad,1
safe,1
calm,1
collected,1
frappucinos,1
enjoyable,1
ear,1
thankful,1
considerate,1
lot/drive,1
floor.Dining,1
filthy,1
1st,1
comfortable,1
simple,1
bean,1
refreshing,1
day-old,1
Long,1
Slow,1
Regular,1
cheerful,1
muy,1
marginal,1
personal,1
full,1
annoying,1
worse,1
racist,1
disrespectful,1
overall,1
εξυπηρέτηση,1
👌🏻,1
relaxed,1
exceptional,1
cheery,1
deary,1
soft,1
shiny,1
cheap,1
coffee,1
tale,1
..,1
indoor,1
unhealthy,1
opposite,1
active,1
true,1
pleasurable,1
flippant,1
am-12,1
half,1
craziness,1
thrilled,1
Impossible,1
Drive-through,1
rough,1
snail,1
hard,1
seen-,1
20-40,1
actual,1
longer,1
staff…,1
Tasty,1
lucky,1
online,1
aggravating,1
particular,1
friendliest,1
order-ahead,1
desperate,1
nearby,1
horrendous,1
suitable,1
Ridiculous,1
effective,1
local,1
drivethru,1
insane,1
efficient,1
wonderful,1
Cool,1
major,1
crazy,1
minute,1
average,1
starbucks-,1
awful,1
Horrid,1
conscious,1
apparent,1
valid,1
closed,1
maximize,1
superior,1
usual,1
solid,1
fest,1
10-15,1
standard,1
pandemic,1
Horrible,1
rid,1
pull,1
mediocre,1
20-30,1
cozy,1
Fresh,1
Classic,1
sleep,1
allergic,1
upbeat,1
peak,1
excited,1
unprofessional,1
subtle,1
caffiene,1
busiest,1
sick,1
stupid,1
yeah,1
brown,1
Wait,1
convenientl,1
modern,1
quit,1
male,1
......,1
upset,1
EVERY-TIME,1
real,1
pathetic,1
mine,1
im,1
bite,1
minimal,1
customized,1
Everyday,1
unorganized,1
messy,1
Next,1
loudest,1
More,1
skeptical,1
total,1
heavy,1
visible,1
buisness,1
top,1
aware,1
popular,1
seasonal,1
lofted,1
usualky,1
Beautiful,1
Decent,1
LONG,1
overwhelmed,1
Efficient,1
WONDERFUL,1
plenty,1
drip,1
weird,1
dangerous,1
likely,1
eager,1
advertised,1
simplest,1
venti,1
dark,1
nevee,1
SLOW,1
polite,1
solitude,1
@,1
spacious,1
two-story,1
outside,1
double,1
Rude,1
green,1
sandwhich,1
Unfortunately,1
Nice,1
large,1
RUDE,1
”,1
entire,1
outdoor,1
general,1
make,1
speedy,1
fast,1
Spacious,1
newest,1
preferred,1
loft,1
upper,1
accessible,1
walking,1
retail,1
fresh,1
