Adjective,Count
nice,15
friendly,13
good,12
great,11
Great,6
busy,6
Nice,6
Good,6
wonderful,5
new,5
best,5
large,5
different,4
Friendly,4
many,3
white,3
outside,3
cold,3
close,3
regular,3
wrong,3
clean,3
next,3
much,2
hot,2
outstanding,2
Pleasant,2
pleasant,2
amazing,2
first,2
small,2
right,2
local,2
awesome,2
huge,2
free,2
fast,2
professional,2
little,2
whole,2
bad,2
crazy,2
helpful,1
exceptional,1
energetic,1
Excellent,1
Clean,1
Polite,1
enjoyable,1
Usual,1
hard,1
fantastic,1
positive,1
grateful,1
First,1
superb,1
mobile,1
pumpkin,1
super,1
able,1
favorite,1
Iced,1
Special,1
iced,1
blonde,1
indoor,1
several,1
caffeine,1
due,1
covid-19,1
last,1
lower,1
lime,1
cool,1
long,1
Strong,1
mindful,1
Incredible,1
fresh,1
social,1
Decent,1
nitro,1
espresso,1
Large,1
safe,1
Delish,1
Happy,1
star,1
..,1
anniversary,1
casi,1
flat,1
dependable,1
polite,1
Which,1
terrible,1
depressed,1
decent,1
Worse,1
Free,1
longer,1
full,1
handicap,1
limited,1
phenomenal,1
ready,1
ten,1
accessible,1
coffee,1
richest,1
recommended,1
b'day,1
generic,1
Mobile,1
heavy,1
usual,1
cleaner,1
efficient,1
popular,1
patient,1
regularly,1
smaller,1
Courteous,1
accurate,1
Best,1
shorter,1
willing,1
yes,1
pleased,1
eager,1
short,1
careful,1
clueless,1
fine,1
easy,1
poor,1
better,1
Fantastic,1
incredible,1
walk/jog,1
ample,1
extra,1
welcoming,1
nicest,1
loud,1
noxious,1
interior,1
less,1
old,1
rainy,1
warm,1
early,1
prior,1
sorry,1
main,1
previous,1
