Adjective,Count
friendly,10
good,8
better,5
best,5
Good,4
helpful,4
great,4
Best,4
fast,3
new,3
busy,3
amazing,3
clean,2
excellent,2
correct,2
delicious,2
slow,2
Great,2
top,2
Amazing,2
rude,2
late,2
worst,2
first,2
dirty,2
larger,1
seating,1
outside,1
due,1
older,1
complete,1
pleased,1
atmosphere,1
cheerful,1
delightful,1
usual,1
“,1
latte,1
upsetting,1
double,1
willing,1
recovered,1
Such,1
awe,1
wrong,1
incredible,1
free,1
real,1
cerca,1
un,1
bebidas,1
personable,1
Clean,1
ready,1
positive,1
ice,1
Last,1
pretty,1
wonderful,1
big,1
blonde,1
perfect,1
timely,1
accessible,1
greatest,1
Awesome,1
sure,1
current,1
Vietnamese,1
Friendly,1
quick,1
disappointed,1
sweet,1
hard,1
Nice,1
nice,1
considerate,1
mobile,1
Awful,1
giant,1
strong,1
unwiped,1
main,1
much,1
polite,1
8-10,1
cold,1
staffed,1
Cool,1
exceptional,1
Pleasant,1
regular,1
weekly,1
cool,1
ok,1
Second,1
Third,1
Convenient,1
grocery,1
next-door,1
indoor,1
Messed,1
morcroft,1
slower,1
open,1
