Adjective,Count
good,148
great,137
nice,42
delicious,37
friendly,28
Good,26
Great,24
little,23
best,23
outside,23
tasty,19
excellent,19
first,17
super,17
wonderful,17
amazing,16
cool,15
awesome,15
busy,15
Excellent,15
better,14
much,14
open,14
outdoor,13
fantastic,12
large,12
new,11
bad,10
different,10
many,10
favorite,10
solid,9
quick,9
small,9
light,9
beautiful,9
next,9
cold,8
Overall,8
last,8
local,8
sure,8
second,8
decent,8
attentive,8
French,8
happy,8
least,7
hard,7
able,7
huge,7
warm,7
right,7
easy,7
top,7
clean,7
big,7
full,7
rude,6
available,6
multiple,6
brunch,6
cheese,6
average,5
poor,5
disappointed,5
table,5
fried,5
dry,5
live,5
several,5
whole,5
knowledgeable,5
helpful,5
horrible,5
incredible,5
wait,5
slow,5
short,5
fresh,5
high,5
Nice,4
bloody,4
recent,4
fair,4
Large,4
real,4
phenomenal,4
perfect,4
soggy,4
professional,4
First,4
picnic,4
overpriced,4
ok,4
entire,3
main,3
long,3
wrong,3
early,3
fish,3
Such,3
less,3
flat,3
pricey,3
Terrible,3
worst,3
hot,3
due,3
impressed,3
chicken,3
pleased,3
seasonal,3
blue,3
bigger,3
aware,3
unique,3
wide,3
social,3
past,3
worth,3
rustic,3
patio,3
interior,3
atmosphere,3
french,3
restaurant,3
expensive,3
awful,2
fine,2
ridiculous,2
ordered,2
fast,2
reasonable,2
difficult,2
n,2
excited,2
sweet,2
general,2
typical,2
ready,2
back,2
unbelievable,2
empty,2
pretty,2
south,2
young,2
plain,2
rave,2
cheap,2
lively,2
willing,2
stunning,2
popular,2
massive,2
extensive,2
convenient,2
extra,2
loud,2
basic,2
outstanding,2
Cool,2
Awesome,2
giant,2
rich,2
indoor,2
Decent,2
Next,2
private,2
true,2
terrible,2
industrial,2
clear,2
limited,2
regular,2
kitchen,2
salty,2
Other,2
Amazing,2
quiet,2
Most,2
elevated,2
comfortable,2
potential,2
overall,2
old,2
creative,2
in-house,2
fun,2
honest,2
mixed,2
aesthetic,2
chic,2
whipped,2
gracious,2
flavorful,2
prompt,2
shaved,2
exceptional,2
consistent,2
premium,2
tad,2
prepared,1
rainy,1
front,1
rushed,1
20-25,1
stale,1
greasy,1
one-off,1
tough,1
foul🥴,1
accurate,1
drinkable,1
outrageous,1
Mac-N-Cheese,1
polite,1
“,1
healthy,1
Fish,1
quicker,1
impressive,1
carmalized,1
compostable,1
frozen,1
brussels,1
Phenomenal,1
Beautiful,1
Popular,1
taproom/,1
inventive,1
welcoming,1
bright,1
dedicated,1
plus,1
attentative,1
interested,1
Signature,1
common,1
end,1
tremendous,1
cafe,1
welcome,1
Shovel,1
unknowledgeable,1
unfriendly,1
weak,1
familiar,1
reliable,1
cafeteria-,1
memorable,1
phone-,1
minimal,1
bar-,1
tight,1
attractive,1
negative,1
thirsty,1
muffin,1
HUGE,1
atmosphere-,1
stellar,1
dependent,1
ultra,1
indoor/outdoor,1
weekday,1
responsible,1
ok.,1
unknown,1
thinner,1
ordering,1
generous,1
cozy,1
special,1
[,1
draught,1
Upscale,1
gorgeous,1
tentative,1
finer,1
designated,1
constant,1
Luckily,1
hundred,1
couple,1
additional,1
god,1
Multiple,1
craaazy,1
arrive,1
dingy,1
un-atentive,1
trendy,1
liquid-y,1
smart,1
on-trend,1
Wonderful,1
sorry,1
Previous,1
Brunch,1
hopeful,1
Expansive,1
sat,1
TSP,1
easier,1
Fantastic,1
deceitful,1
shrimp,1
gulf,1
plumper,1
scattered,1
niku,1
thier,1
door,1
low,1
pet,1
rid,1
liquor,1
nextdoor,1
personable,1
funny,1
craft,1
yummy,1
Safe,1
likely,1
vegetable,1
confusing,1
dine-in,1
needs,1
shoestring,1
locs,1
necessary,1
💯,1
minute,1
ill,1
unrelated,1
stomach,1
unfortunate,1
unusable,1
adjacent,1
noticed,1
boyfriend,1
ice,1
sad,1
red,1
giftcard,1
grilled,1
start,1
hibiscus,1
indulgent,1
noisy,1
careful,1
tippy,1
heavy,1
random,1
unexpected,1
warmer,1
acceptable,1
baked,1
Big,1
stick,1
rosemary,1
uncomfortable,1
glad,1
smallish,1
nicer,1
vegan/vegetarian,1
Second,1
Third,1
comprehensive,1
uber,1
downtown,1
public,1
shady,1
whiskey,1
1-2,1
huuuuge,1
precious,1
Unbelievable,1
neglected,1
english,1
guest,1
NC,1
ridgid,1
roasted,1
sub,1
Friendly,1
on-tap,1
wine,1
inflated,1
brilliant,1
extraordinary,1
non,1
amicable,1
curly-q,1
lucky,1
crowded,1
simple,1
Espresso,1
spiced,1
packed,1
veggie,1
Couple,1
forgotten,1
receptical,1
co,1
elegant,1
wondeful,1
culinary,1
charming,1
crispy,1
chill,1
well-trained,1
rounded,1
rocky,1
unforgettable,1
higher,1
Impressive,1
welll,1
local/non-local,1
covered,1
uncovered,1
app,1
plastic,1
pint,1
accessible,1
overflow,1
worthy,1
inconsistent,1
harder,1
chewy,1
grass-fed,1
mind,1
horseradish,1
au,1
soft,1
herby,1
okay,1
enough,1
oversized,1
nonexistent,1
terrific,1
decaf,1
mild,1
wimpy,1
bridal,1
3-4,1
all-natural,1
farm-to-table,1
patient,1
shaded,1
unfiltered,1
Delicious,1
meh,1
steep,1
stylish,1
interesting,1
delectable,1
tedious,1
weird,1
Debatable,1
unwelcome,1
walkable,1
microbrewery,1
coffee,1
tap,1
Best,1
basic-,1
spots,1
odd,1
classy,1
careless,1
sophisticated,1
efficient,1
pecan,1
expansive,1
positive-,1
beers/casual,1
go-to,1
hour/casual,1
dark,1
frustrating,1
want,1
dog,1
Regular,1
Last,1
tiny,1
green,1
/,1
delish,1
picky,1
cystic,1
plenty,1
pub,1
enclosed,1
tented,1
smooth,1
tasteful,1
tacky,1
distasteful,1
inviting,1
vegan,1
over-cooked,1
essential,1
rolled,1
minor,1
flavor,1
Space-,1
opportunities-,1
pale,1
Early,1
similar,1
inconvenient,1
hangry,1
Expensive,1
traditional,1
alternative,1
slower,1
strange,1
friends,1
successful,1
earlier,1
Went,1
grand,1
South,1
absolute,1
