Adjective,Count
great,34
delicious,33
friendly,26
good,22
nice,18
beautiful,14
excellent,13
new,12
little,11
amazing,10
sweet,10
best,9
clean,9
cute,8
cheese,7
wonderful,5
super,5
fantastic,5
happy,5
iced,5
perfect,5
awesome,5
sure,4
tasty,4
favorite,4
Peruvian,4
fresh,4
first,3
Excellent,3
smooth,3
local,3
available,3
bright,3
small,3
unique,3
reasonable,3
modern,3
long,3
comfortable,3
hot,3
First,3
next,3
un,3
busy,3
Friendly,2
natural,2
aware,2
Great,2
spacious,2
pleasant,2
wooden,2
cool,2
bad,2
sumaq,2
outside,2
large,2
extra,2
entire,2
simple,2
big,2
worth,2
affordable,2
Fantastic,2
black,2
warm,2
phenomenal,2
Wish,2
incredible,2
rich,2
baked,2
open,2
Such,2
Amazing,2
productive,2
much,2
least,2
Latinx-owned,2
go-to,2
non,1
young,1
dumb,1
terrible,1
poor,1
last,1
todo,1
prompt,1
thoughtful,1
better,1
outdoor,1
Easy,1
absolute,1
helpful,1
savory,1
empanadas,1
reclaimed,1
industrial,1
negative,1
difficult,1
limited,1
wet,1
past,1
interior,1
organic,1
minimalistic,1
well-served,1
attentive,1
slower,1
unexpected,1
moist,1
♥️,1
original,1
syrup,1
artificial,1
typical,1
chicha,1
inside,1
fast,1
Pure,1
knowledgeable,1
Highly,1
glad,1
wish,1
multiple,1
Cute,1
impeccable,1
flat,1
adorable,1
degradable,1
important,1
inviting,1
Free,1
adjacent,1
dietary,1
surprised,1
peaceful,1
inner,1
Apple,1
newest,1
relaxing,1
slow,1
hidden,1
south,1
sweeter,1
Strong,1
flavorful,1
divine,1
serene,1
❤️Compostable,1
carrot,1
not-too-sweet,1
alone,1
….the,1
ok,1
pineapple,1
courteous,1
atmosphere,1
pleasing,1
unhelpful,1
apathetic,1
disappointed,1
enjoyable,1
quick,1
inexpensive,1
strawberry,1
puppy,1
live,1
yummy,1
excellent.Extraordinary,1
yum,1
delightful,1
Different,1
second,1
interesting,1
standard,1
además,1
strong,1
lighter,1
Good,1
uptown,1
everyday,1
spectacular,1
Best,1
Next,1
inside-modern,1
noisy,1
Wonderful,1
AMAZING,1
gorgeous,1
culinary,1
splendid,1
fabulous,1
mediocre,1
many,1
uncomfortable,1
Beautiful,1
dairy,1
sloooow,1
Awful,1
disappointing,1
menu,1
bread,1
weekly,1
una,1
siempre,1
orden,1
uno,1
gracias,1
Which,1
hey,1
necessary,1
unfortunately,1
sensorineural,1
slight,1
overwhelming,1
normal,1
loud,1
basicallt,1
nightclub,1
hear,1
creative,1
familiar,1
proper,1
vibe,1
possible,1
apologetic,1
front,1
wait,1
tried,1
kitchen,1
sandwich,1
to-go,1
half-way,1
full,1
smaller,1
10th,1
hopeful,1
en,1
la,1
especialmente,1
opening,1
eager,1
nasty,1
boho,1
exquisite,1
South,1
American,1
hottest,1
obsessed,1
Delicious,1
encontrado,1
gente,1
amable,1
outstanding,1
welcoming,1
longer,1
