Adjective,Count
great,13
nice,12
good,11
friendly,11
delicious,6
little,4
beautiful,4
next,4
best,4
Best,4
super,3
favorite,3
cute,2
hot,2
helpful,2
cozy,2
Beautiful,2
high,2
local,2
happy,2
bad,2
sure,2
fresh,2
fantastic,2
lovely,2
outdoor,2
wonderful,2
dark,2
flavorful,2
smaller,2
outside,2
open,2
Great,1
tough,1
inside,1
small,1
available,1
pricier,1
odd,1
Wonderful,1
light,1
numerous,1
limited,1
free,1
retail,1
seasonal,1
many,1
different,1
real,1
authentic,1
handmade,1
overall,1
wine,1
whole,1
much,1
“,1
worst,1
worth,1
better,1
Friendly,1
maple,1
baked,1
regular,1
cheap,1
small/intimate,1
future,1
non-dairy,1
vegan,1
lgbt,1
edited,1
harsh,1
honest,1
second,1
strange,1
occult,1
aesthetic,1
uncomfortable,1
warm,1
lemon,1
fun,1
Delish,1
iced,1
sweet,1
Nice,1
love,1
perfect,1
typical,1
to-go,1
latte,1
stand-offish,1
comfortable,1
likely,1
welcoming,1
independent,1
dirty,1
closer,1
tasted,1
weak,1
third,1
wave,1
t-shirt,1
right,1
frozen,1
knowledgeable,1
adorable,1
fair,1
espresso,1
drip,1
main,1
overpriced,1
fine,1
close,1
essential,1
delightful,1
possible,1
glad,1
smooth,1
quick,1
neighborhood,1
Wish,1
