Adjective,Count
great,31
good,8
friendly,7
new,7
nice,6
best,6
delicious,6
fantastic,6
wonderful,5
super,5
local,4
Great,4
small,3
favorite,3
quiet,2
whole,2
seasonal,2
little,2
spacious,2
excellent,2
ample,2
easy,2
knowledgeable,2
available,2
busy,2
relaxing,2
beautiful,2
cool,2
Such,2
clean,2
quick,2
top-notch,1
glad,1
exquisite,1
healthy,1
delish,1
relaxed,1
iced,1
right,1
warm,1
sweet,1
Darian,1
rough,1
2-minute,1
personable,1
ish,1
non,1
seltzer,1
alternative,1
functional,1
mobile,1
rewards,1
outside,1
chill,1
Friendly,1
vegan,1
pleasant,1
unique,1
high,1
creative,1
last,1
soo,1
Sure,1
professional,1
inviting,1
yummy,1
Overall,1
excited,1
Incredible,1
blue,1
better,1
Good,1
impressed,1
special,1
interior,1
important,1
hidden,1
cute,1
single,1
happy,1
fabulous,1
outdoor,1
ideal,1
smooth,1
consistent,1
adorable,1
+,1
remote,1
fun,1
paced,1
causal,1
Amazing,1
Ideal,1
go-to,1
live,1
indoor,1
chai,1
ready,1
regular,1
Wonderful,1
Your,1
