Adjective,Count
good,55
delicious,42
great,37
nice,19
best,17
little,14
friendly,13
many,13
old,12
free,12
baked,12
fresh,11
vegan,11
local,11
first,10
clean,10
dry,10
Good,10
Great,9
amazing,8
excellent,8
super,8
favorite,8
different,7
busy,7
bad,7
sure,7
helpful,7
sweet,7
Delicious,6
wrong,6
hot,6
better,6
cheese,5
incredible,5
small,5
new,5
long,5
perfect,5
fantastic,5
huge,5
Excellent,5
quick,5
wonderful,4
least,4
worth,4
high,4
yummy,4
tasty,4
disappointed,4
iced,4
Nice,4
rosemary,4
fast,4
french,4
special,4
hard,4
cinnamon,3
Friendly,3
slow,3
outdoor,3
available,3
awesome,3
gluten,3
due,3
online,3
awful,3
terrible,3
several,3
Best,3
light,3
wish,3
black,3
past,3
“,3
sandwich,3
prepared,3
quiet,3
poor,3
Several,3
much,3
outstanding,3
able,3
right,3
flaky,2
to-go,2
back,2
Delish,2
dead,2
multiple,2
large,2
possible,2
human,2
Little,2
expensive,2
front,2
Amazing,2
young,2
sad,2
simple,2
easy,2
worst,2
key,2
real,2
peaceful,2
basic,2
single,2
individual,2
pleasant,2
happy,2
cute,2
phenomenal,2
wide,2
hidden,2
Wonderful,2
top,2
passive,2
aggressive,2
bigger,2
biggest,2
tiramisu,2
birthday,2
rich,2
fine,2
ok,2
Fabulous,2
additional,2
courteous,2
flavorful,2
worse,2
dirty,2
less,2
south,2
full,2
short,2
luke,2
last,1
big,1
Sunflower,1
questionable,1
sunflower,1
cold,1
slower,1
lovely,1
delightful,1
alright,1
Extensive,1
couple,1
Yummy,1
lack,1
extended,1
thoroughly,1
important,1
like,1
enthusiastic,1
high-quality,1
diverse,1
quality,1
sorry,1
already.,1
grand,1
nonexistent,1
glad,1
Southern,1
massive,1
green,1
mad,1
organic,1
bright,1
reasonable,1
functional,1
natural,1
earlier,1
stay,1
consistent,1
doesnt,1
closest,1
grateful,1
soooo,1
sick,1
bday,1
20-25,1
private,1
disappointing,1
Rather,1
lacking-,1
bread,1
1-3-22,1
nearby,1
numerous,1
social,1
Friendly/energetic,1
spectacularly,1
flaky/messy,1
told,1
certain,1
non-customized,1
sooooo,1
almond,1
raspberry,1
Italian,1
BEST,1
French,1
double,1
interested,1
main,1
stop,1
alwaya,1
Counter,1
Healthy,1
efficient,1
puppy,1
isolated,1
poorly,1
25-30,1
staffed,1
Pleasant,1
patient,1
dairy-free,1
honest,1
substantial,1
First,1
second,1
greatest,1
equal,1
meh,1
bear,1
scrumptious,1
weekly,1
Fantastic,1
eggs,1
called,1
sour,1
unclean,1
oh,1
half,1
drip,1
solid,1
Beautiful,1
Clean,1
welcoming,1
coffee,1
magical,1
thankful,1
horrific,1
unprepared,1
mobile,1
unprofessional,1
proper,1
Much,1
traditional,1
goodness,1
preordered,1
original,1
crispy,1
undercooked,1
gooey,1
raw,1
pleased,1
distinct,1
overcooked,1
authentic,1
allergic,1
tiny,1
added,1
inside,1
actual,1
dessert,1
triple,1
fluffy,1
dense,1
next,1
delectable,1
tropical,1
Second,1
sublime,1
unpretentious,1
ten,1
delish,1
tall,1
chilled,1
pumpkin/apple,1
viable,1
trash,1
seating,1
normal,1
skim,1
impossible,1
Most,1
close,1
particular,1
boring,1
confused,1
boars,1
empty,1
daily,1
knowledgable,1
glorified,1
stellar,1
mocha,1
moist,1
use,1
patio,1
whole,1
previous,1
caramel,1
extra,1
pimento,1
lunch,1
spacey,1
unfamiliar,1
OK,1
mediocre,1
ill,1
low,1
dont,1
Cant,1
airy,1
stale,1
chia,1
frankly,1
seasonal,1
bakery,1
entire,1
inedible,1
ballantyne,1
decaf,1
Other,1
energetic,1
Flaky,1
Top,1
lemon,1
impressed,1
longer,1
cheap,1
complete,1
pretty,1
rare,1
Double,1
scramble,1
early,1
crazy,1
all-but,1
dry-,1
balanced,1
satisfying,1
Expensive,1
plain,1
precious,1
illegal,1
Special,1
ridiculous,1
so-so,1
gluten-free,1
non-vegan,1
chocolate,1
likely,1
'Best,1
exceptional,1
weak,1
rush,1
til,1
somewhere,1
satisfied,1
salted,1
red,1
affluent,1
interior,1
warm,1
