Adjective,Count
great,79
good,67
delicious,43
best,25
nice,24
friendly,19
Great,19
little,17
favorite,16
Good,13
first,13
ready,13
baked,13
busy,13
small,12
excellent,12
cheese,12
sweet,12
awesome,11
sure,10
better,10
vegan,9
amazing,9
free,9
online,9
Nice,8
new,8
tasty,8
wrong,8
fresh,8
much,8
long,7
bad,7
least,7
extra,7
many,7
second,6
able,6
outdoor,6
cold,6
fantastic,6
outside,6
hot,6
open,5
solid,5
super,5
happy,5
available,5
different,5
hard,5
expensive,5
local,5
slow,5
worth,5
full,5
Amazing,5
clean,5
quick,5
next,4
lime,4
terrible,4
several,4
yummy,4
cute,4
poor,4
phenomenal,4
grilled,4
gluten,4
healthy,4
helpful,4
dry,4
rude,4
wonderful,4
disappointed,4
iced,4
whole,4
real,4
big,4
Delicious,4
rosemary,4
lovely,3
decent,3
popular,3
less,3
old,3
young,3
sandwich,3
worst,3
perfect,3
sour,3
Wonderful,3
last,3
additional,3
stale,3
enough,3
Excellent,3
incredible,3
Beautiful,3
warm,3
croissant,3
Friendly,3
light,3
gross,3
overpriced,2
awful,2
bakery,2
Comfortable,2
crazy,2
pretty,2
nasty,2
worse,2
key,2
possible,2
special,2
ok,2
easy,2
closer,2
u,2
correct,2
def,2
dirty,2
multiple,2
attentive,2
early,2
casual,2
reasonable,2
complete,2
recent,2
high,2
regular,2
okay,2
glad,2
quality,2
overall,2
main,2
comfortable,2
Every,2
disappointing,2
wide,2
steady,2
past,2
south,2
uber,2
double,2
lunch,2
aware,2
patient,2
uncomfortable,2
careful,2
cafe,2
flaky,2
right,2
delish,2
red,2
natural,2
accessible,2
mine,2
prepared,2
AMAZING,2
chaotic,2
entire,2
late,2
Best,2
brunch,2
huge,2
average,2
More,2
beautiful,2
massive,2
drip,1
spread,1
sunday,1
decaf,1
First,1
sunflower,1
wish,1
rudest,1
discussing,1
freaking,1
Wasted,1
convenient,1
empty,1
seasonal,1
higher,1
sufficient,1
make,1
strong,1
ur,1
Sunflower,1
delightful,1
tho…,1
obvious,1
thoughtful,1
flippant,1
unapologetic,1
annoyed,1
“,1
terrific,1
courteous,1
low-key,1
surprising,1
partial,1
cream-cheese,1
brown,1
ethnic,1
welcomed,1
sooo,1
limited,1
inefficient,1
Horrible,1
existent,1
successful,1
bite,1
savory,1
Awesome,1
impressive,1
breakfast,1
pleased,1
interior,1
2-3,1
dont,1
ridiculous,1
comfy,1
recommended,1
styling,1
European,1
side,1
win-win,1
excelent,1
coffee,1
relaxing,1
snippy,1
couple,1
oreo,1
scrumptious,1
fancy,1
common,1
Overall,1
flimsy,1
loud,1
embarrassed,1
Adorable,1
numerous,1
sub-sub-sub,1
apathetic,1
initial,1
single,1
12-15,1
inedible,1
made-to-order,1
painful,1
meh,1
horrible,1
English,1
neighborhood,1
unhelpful,1
non,1
peak,1
cheddary,1
gracious,1
😁😁,1
ticket,1
legit,1
doubtful,1
notified,1
Just,1
fat,1
tasted,1
gluten-free,1
Wish,1
so-so,1
willing,1
annoying,1
app,1
Previous,1
efficient,1
pimento,1
flexible,1
east,1
mediocre,1
designated,1
pickup,1
random,1
potential,1
flourless,1
underwhelming,1
well-,1
im,1
turkey,1
fine,1
maximum,1
intimate,1
yum,1
larger,1
interested,1
avocado,1
disorganized,1
over-extracted,1
accidental,1
quite,1
Fantastic,1
skeptic,1
satisfied,1
fast,1
social,1
likely,1
busiest,1
front,1
normal,1
pre-COVID,1
lukewarm,1
in-the-car,1
dangerous,1
short,1
scary,1
abstract,1
insane,1
tough,1
safe,1
sad,1
actual,1
jealous,1
sorry,1
sparse,1
moist,1
teeny,1
nervous,1
future,1
soft,1
cheaper,1
responsive,1
lite,1
usual,1
afraid,1
to-go,1
inadequate,1
occasional,1
iffy,1
unfriendly,1
generous,1
chocolate-,1
Rosemary,1
cozy,1
dairy,1
chill,1
snack,1
Friend,1
hectic,1
lit,1
1-2,1
inch,1
quiet,1
toasty,1
😉,1
freshest,1
soy,1
frozen,1
professional,1
tentative,1
ok.,1
misleading,1
consistent,1
stellar,1
parchment,1
pre-made,1
moldy-,1
wary,1
outstanding,1
major,1
spectacular,1
vs,1
Delish,1
unsanitary,1
fair,1
white,1
atmosphere,1
locations.but,1
Busy,1
knowledgeable,1
smooth-not,1
Maple,1
post-gym,1
minimal,1
turmeric-ginger,1
Worth,1
Ever,1
top,1
delectable,1
exceptional,1
poppy,1
adorable,1
comfiest,1
Much,1
original,1
crowded,1
obsessed,1
carrot,1
locale,1
sourdough,1
rainy,1
become,1
tried,1
sweetest,1
genuine,1
vegetarian,1
take-home,1
substantial,1
flakey,1
rich,1
decadent,1
peanut,1
lemon,1
large,1
Tasty,1
subpar,1
Huge,1
personal,1
noisy,1
difficult,1
cramped,1
Quiet,1
Top,1
wifi,1
creative,1
former,1
southern,1
sample,1
pecan,1
loose,1
leaf,1
plentiful,1
spontaneous,1
Second,1
fabulous,1
Counter,1
Service-,1
flavored,1
courtesy,1
.......,1
ugh,1
due,1
fountain,1
Such,1
cheddar,1
gigantic,1
holy,1
later,1
toasted,1
