Adjective,Count
good,67
great,58
delicious,42
best,29
friendly,24
nice,20
little,19
fresh,19
favorite,16
Great,16
Good,15
better,13
free,13
several,11
baked,11
small,10
excellent,10
tasty,10
slow,10
amazing,10
Best,9
ready,9
bad,9
quick,8
first,8
clean,8
much,7
awesome,7
local,7
huge,7
vegan,7
many,7
cheese,7
real,7
old,7
perfect,7
happy,6
busy,6
fantastic,6
wrong,6
rude,6
cold,6
Excellent,6
last,6
iced,6
open,5
special,5
sweet,5
sure,5
high,5
next,5
simple,5
less,5
regular,5
expensive,5
whole,5
worth,5
difficult,5
wonderful,5
extra,4
smooth,4
right,4
Fantastic,4
multiple,4
rosemary,4
yummy,4
gluten,4
second,4
super,4
new,4
dirty,4
red,4
poor,3
early,3
cool,3
avocado,3
long,3
Friendly,3
sorry,3
white,3
young,3
cute,3
total,3
professional,3
phenomenal,3
outside,3
online,3
stale,3
soggy,3
least,3
cozy,3
helpful,3
Real,3
giant,3
warm,3
ok,3
pricey,3
flaky,3
glad,3
moist,3
key,2
cheddar,2
weekly,2
awful,2
hard,2
short,2
ridiculous,2
sandwich,2
available,2
confused,2
front,2
average,2
worse,2
decent,2
beautiful,2
hot,2
upbeat,2
able,2
overall,2
okay,2
consistent,2
pleasant,2
Small,2
full,2
disappointed,2
snappy,2
past,2
due,2
terrible,2
empty,2
Most,2
healthy,2
“,2
unique,2
top,2
crispy,2
gluten-free,2
popular,2
cafe,2
fine,2
sourdough,2
weird,2
black,2
15-20,2
Nice,2
tiny,2
crowded,2
croissant,2
flat,2
Unimpressive,1
dine-in,1
pathetic,1
sad,1
sizable,1
classic,1
sunnys,1
ive,1
bacon,1
legit,1
higher,1
dry,1
accurate,1
Long,1
Disorganized,1
tired,1
slower,1
drip,1
main,1
overrated,1
initial,1
overpriced,1
blonde,1
caprese,1
irresistible,1
sour,1
stupid,1
isntoo,1
apologetic,1
racist,1
solid,1
Way,1
crazy,1
Terrible,1
African,1
sbd,1
Amazing,1
maple,1
original,1
comedic,1
impressed,1
humongous,1
fellow,1
ask,1
negative,1
unwelcoming,1
toasted,1
folded,1
baconeggandcheese,1
miss,1
nicest,1
mean,1
absolute,1
frustrating,1
Unfriendly,1
welcome,1
along,1
facial,1
acceptable,1
unfriendly,1
attentive,1
disorganized,1
disrespectful,1
grilled,1
tomato,1
for-,1
pre-arranged,1
dissatisfied,1
cinnamon,1
light,1
comfy,1
Tasty,1
BEST,1
Cute,1
efficient,1
mine,1
sunflour,1
additional,1
so-so,1
Phenomenal,1
English,1
fake,1
back,1
Upscale,1
Inefficient,1
allow,1
eggless,1
3-4,1
Clean,1
Delicous,1
foodie,1
unassuming,1
general,1
late,1
French,1
Cant,1
life-long,1
sold-out,1
Wrong,1
fluffy,1
underground,1
Average,1
pretentious,1
untidy,1
tremendous,1
panini,1
turkey,1
Pleasant,1
dangerous,1
weak,1
Sunflower,1
choc,1
low,1
reasonable,1
different,1
Only,1
cashier,1
Fabulous,1
double,1
long.,1
inedible,1
More,1
Expensive,1
easy-going,1
Slow,1
mixed,1
tough,1
complicated,1
tuna,1
delectable,1
previous,1
atrocious,1
divine,1
Decent,1
truly,1
overblown,1
unattended,1
cheapest,1
bright,1
biggest,1
flakey,1
pure,1
believable,1
loose,1
didnt,1
deli,1
wide,1
spectacular,1
enough,1
outdoor,1
tight,1
large-size,1
scattered,1
unorganized,1
kept,1
fabulous,1
sauvory,1
wish,1
caught,1
Last,1
vegetarian,1
incredible,1
half,1
stay,1
cheerful,1
Wonderful,1
🤗,1
impatient,1
pretty,1
loud,1
Quiet,1
chill,1
green,1
heinous,1
вкусная,1
попробовать,1
какпкеки,1
sterile,1
Overall,1
questionable,1
noisy,1
strange,1
major,1
softer,1
regarded,1
outstanding,1
Rude,1
bean,1
freshly-made,1
limited,1
Simple,1
frozen,1
Awesome,1
sooo,1
single,1
ample,1
cheap,1
willing,1
fast,1
soft,1
hungry,1
go-to,1
adorable,1
quiet,1
Delicious,1
Lovely,1
terrific,1
charlotte,1
larger,1
scrumptious,1
Pure,1
loving,1
lovely,1
casual,1
normal,1
large,1
soy,1
heavy,1
neighboring,1
applicable,1
understanding,1
bogus,1
allotted,1
Chinese,1
longer,1
personal,1
accountable,1
bigger,1
kinda,1
dark,1
thick,1
Other,1
smack,1
french,1
buttery,1
..,1
worst,1
comfortable,1
unpretentious,1
flawless,1
separate,1
spacious,1
chalkboard,1
natural,1
organic,1
justified,1
unimpressed,1
potential,1
ok.,1
