Adjective,Count
great,70
good,48
delicious,40
live,20
amazing,19
small,18
favorite,17
nice,16
best,15
super,15
first,14
local,14
new,13
fantastic,13
much,12
unique,12
awesome,12
tasty,12
friendly,11
wonderful,11
little,11
outdoor,11
secret,10
beautiful,9
incredible,9
many,9
open,8
sure,8
Great,8
knowledgeable,7
French,7
attentive,7
last,7
better,7
perfect,7
Good,7
different,7
cute,6
fresh,6
full,6
large,6
regular,6
cozy,6
short,5
next,5
special,5
excellent,5
strong,5
sweet,5
Excellent,5
bad,5
outside,5
cool,5
indoor,5
warm,4
top,4
long,4
extra,4
exceptional,4
busy,4
First,4
cheese,4
stellar,4
free,4
wine,4
available,4
back,4
Such,4
big,4
slow,4
terrible,4
whole,4
enough,4
loud,4
high,4
happy,4
featured,4
fabulous,3
dry,3
hot,3
olive,3
quick,3
difficult,3
outstanding,3
relaxing,3
hidden,3
clean,3
worth,3
generous,3
atmosphere,3
huge,3
additional,3
average,3
phenomenal,3
fine,3
social,3
usual,3
rude,3
creative,3
safe,3
comfortable,3
baked,3
ok,2
overpriced,2
least,2
cheaper,2
Overall,2
MORE,2
solid,2
easy,2
Happy,2
Spanish,2
brunch,2
absolute,2
worst,2
overall,2
menu,2
avocado,2
helpful,2
monthly,2
salmon,2
white,2
Wonderful,2
positive,2
sweetest,2
popular,2
wait,2
Wait,2
red,2
interesting,2
interested,2
Amazing,2
okay,2
off-putting,2
hard,2
prepared,2
diet,2
wide,2
Friendly,2
enjoyable,2
table,2
multiple,2
second,2
able,2
poor,2
Other,2
simple,2
art,2
empty,2
uncomfortable,2
disappointed,2
french,2
sat,2
shareable,2
Beautiful,2
famous,2
iced,2
Cant,2
Better,2
gravy…,1
…,1
early,1
all-time,1
low,1
pretentious,1
divine,1
coconut,1
waitress,1
native,1
Cheese,1
larger,1
scattered,1
“,1
working,1
”,1
embarrassing,1
ridiculous,1
unbearable,1
absolutey,1
Second,1
yoga,1
extraordinary,1
quintessential,1
concerned,1
vast,1
Gorgeous,1
spiced,1
thorough,1
dietary,1
due,1
active,1
extensive,1
unbeatable,1
thankful,1
funny,1
magician,1
personable,1
mean,1
succulent,1
tender,1
NEXT,1
<,1
lovely,1
gallery,1
sandwich,1
eclectic,1
updated,1
welcoming,1
Live,1
lox,1
Most,1
generational,1
plan,1
private,1
single,1
grilled,1
celery,1
root-palm,1
dessert,1
comfy,1
rare,1
informal,1
fancy,1
heard,1
overwhelmed,1
necessary,1
garden,1
Modern,1
engaging,1
Relaxed,1
*,1
delicous,1
patio,1
bright,1
enthusiastic,1
empathetic,1
charismatic,1
particular,1
healthy,1
glad,1
potential,1
mixed,1
chicken,1
cold,1
inattentive,1
fierce,1
flavorful,1
artistic,1
delectable,1
Delicious,1
upcoming,1
overdue,1
delish,1
whisk,1
plus,1
Noda-adjacent,1
convenient,1
pro,1
sizable,1
smaller,1
specific,1
past,1
entire,1
artsy,1
customizable,1
delightful,1
anxious,1
original,1
pleased,1
mango,1
general,1
lackluster,1
canvas,1
spacious,1
scrumptious,1
sliced,1
bread,1
light,1
Milanese,1
true,1
crafted,1
developed,1
courteous,1
/,1
musician,1
asthma,1
proper,1
salad,1
unintentional,1
Likely,1
intended,1
thick,1
actual,1
strange,1
..,1
Favorite,1
natural,1
Lovely,1
Tge,1
prompt,1
weekly,1
avo,1
patient,1
GREAT,1
restaurant,1
1.5-2hrs,1
incompetent,1
Horrible,1
negative,1
vegetarian,1
smoked,1
hilarious,1
heavy,1
creamy,1
decent,1
tiny,1
entree,1
wrong,1
ready,1
willing,1
website,1
finest,1
fluffy,1
Limited,1
sooo,1
possible,1
tip,1
keen,1
dance-,1
hectic,1
vegan,1
pricey,1
unprofessional,1
to-go,1
retail,1
quite,1
awful,1
Safe,1
Local,1
diverse,1
calm,1
reliable,1
love,1
covid,1
Just,1
....,1
fair,1
speedy,1
tea,1
custom,1
marinated,1
smashed,1
half,1
meal,1
industrial,1
modern,1
tapas,1
stop,1
viewing,1
daily,1
unmatched,1
cutest,1
expensive,1
real,1
insane,1
Awesome,1
Fabulous,1
late,1
aware,1
open-air,1
pandemic,1
Forward-thinking,1
breath-taking,1
go-to,1
intimate,1
marvelous,1
superior,1
DragQueen,1
Awsome,1
noda,1
several,1
old,1
young,1
rich,1
ethnic,1
approachable,1
Top,1
Nice,1
counter,1
tad,1
deep,1
focused,1
classic,1
Get,1
u,1
reasonable,1
pleasent,1
cheerful,1
successful,1
