Adjective,Count
great,105
good,55
delicious,44
best,38
friendly,38
favorite,30
nice,27
awesome,20
local,16
Great,15
new,15
super,15
fresh,13
iced,13
fantastic,12
different,12
amazing,12
Good,12
outdoor,12
tasty,11
excellent,10
outside,10
many,10
busy,9
first,9
little,9
perfect,9
cold,9
cool,8
small,8
sure,8
comfortable,8
wonderful,8
quick,7
better,7
Best,7
nitro,7
Fantastic,6
incredible,6
clean,6
free,6
several,6
overall,6
upstairs,5
unique,5
available,5
last,5
vegan,5
hot,5
second,5
baked,5
coffee,5
flat,4
empanadas,4
big,4
least,4
sweet,4
spacious,4
right,4
golden,4
Amazing,4
Excellent,4
top,4
strong,4
knowledgeable,4
Awesome,4
neighborhood,3
Perfect,3
sparkling,3
easy,3
huge,3
Nice,3
solid,3
open,3
smooth,3
much,3
light,3
phenomenal,3
quiet,3
helpful,3
full,3
raw,3
personable,3
giddy,3
bad,3
ready,3
early,3
Incredible,3
Most,3
glad,3
green,3
fair,3
beautiful,3
wine,3
positive,3
modern,3
cute,3
average,2
empanada,2
enough,2
regular,2
fast,2
Free,2
pleased,2
downstairs,2
true,2
extra,2
laptop,2
patio,2
large,2
wide,2
impressed,2
Such,2
warm,2
weak,2
attentive,2
whole,2
white,2
fun,2
drip,2
poor,2
happy,2
basic,2
high,2
atmosphere,2
chicken,2
indoor,2
Highly,2
various,2
past,2
exceptional,2
original,2
social,2
caprese,2
lemon,2
dark,2
ok,2
grateful,2
attractive,2
real,2
rooftop,2
long,2
bean,2
legit,2
tough,2
Wonderful,2
disappointed,2
larger,2
consistent,2
quality,2
fine,2
excited,2
cozy,2
Friendly,2
next,2
personal,2
Self-serve,2
picnic,1
one-on-one,1
multiple,1
upbeat,1
mixed,1
half,1
normal,1
due,1
quaint,1
vibes,1
thick,1
bland,1
awful,1
dude,1
hard,1
go-to,1
protein,1
Exceptional,1
Wi-Fi,1
terrible,1
thier,1
plus,1
entire,1
polite,1
live,1
5th,1
Fabulous,1
clear,1
classic,1
20th,1
Only,1
arrogant,1
unpleasant,1
specific,1
grumpy,1
dry,1
surprising,1
current,1
remote,1
Overall,1
dingy,1
seconds—not,1
milky,1
inedible,1
delish,1
Lucky,1
Big,1
fabulous,1
pricey,1
Cool,1
divine,1
Soft,1
See,1
expensive,1
final,1
coolest,1
slid,1
understanding,1
third,1
involved,1
impossible,1
Brazilian,1
oat,1
Green,1
Cute,1
tight,1
honest,1
this❤,1
kinda,1
latter,1
loud,1
👍👍👍👍⭐⭐⭐⭐☕☕☕☕😋😋😋😋,1
easier,1
guest,1
soulless,1
Ample,1
minor,1
comfy,1
internet,1
successful,1
delightful,1
young,1
retired,1
fire,1
dynamite,1
avid,1
in-depth,1
booming,1
tedious,1
On-site,1
adorable,1
skeptical,1
middle,1
egg-free,1
Stellar,1
absolute,1
proper,1
yellow,1
stick,1
cheap,1
enthusiastic,1
willing,1
relaxing,1
greasy,1
famous,1
bigger,1
packed,1
treat,1
intuitive,1
fiddle,1
*,1
creamy,1
standard,1
vegetarian,1
pumpkin,1
awkward,1
Second,1
avoided,1
numerous,1
pretty,1
central,1
Argentinian,1
“,1
inviting,1
rich,1
bitter,1
plentiful,1
healthy,1
gorgeous,1
remarkable,1
welcoming,1
special,1
Many,1
Wish,1
reasonable,1
negative,1
hesitant,1
all-time,1
popular,1
house-made,1
Spacious,1
blown,1
😍,1
ample,1
garage-style,1
former,1
espresso,1
exact,1
na,1
everyday,1
generic,1
wrong,1
roof,1
Beautiful,1
Costa,1
Rican,1
near,1
flavorful,1
nighttime/bar,1
superb,1
usual,1
exciting,1
welcome,1
private,1
affable,1
slow,1
worried,1
neat,1
endearing,1
2-3,1
safe,1
Top,1
friendliest,1
aesthetic,1
greater,1
warmer,1
utilized,1
productive,1
dirty,1
