Adjective,Count
great,84
good,56
friendly,32
nice,25
delicious,16
best,16
new,16
cool,15
awesome,13
little,13
super,12
amazing,11
busy,11
wine,10
local,10
excellent,9
hot,9
many,9
sure,9
favorite,8
helpful,8
huge,8
live,8
Great,8
cold,7
sweet,7
first,7
wonderful,7
Good,7
clean,6
unique,6
iced,6
next,6
perfect,6
cute,6
better,6
small,6
top,6
full,5
incredible,5
big,5
open,5
white,5
tasty,5
available,5
fantastic,5
beautiful,4
modern,4
seasonal,4
overall,4
attentive,4
empty,4
old,4
couple,4
right,4
flat,4
Overall,4
quick,4
loud,4
comfortable,4
Such,4
Nice,4
real,4
interesting,4
wide,4
fun,4
warm,4
knowledgeable,4
large,4
cafe,3
black,3
lovely,3
extensive,3
bottle,3
bad,3
less,3
able,3
outside,3
short,3
to-go,3
back,3
different,3
strong,3
decent,3
enjoyable,3
Excellent,3
long,3
creamy,3
whole,3
Friendly,3
much,3
smooth,3
extra,3
Best,2
fresh,2
cozy,2
chic,2
reasonable,2
welcoming,2
go-to,2
wish,2
wrong,2
general,2
recent,2
sad,2
important,2
clear,2
entire,2
excited,2
limited,2
1-2,2
coffee,2
sour,2
pleased,2
decaf,2
Decent,2
tad,2
weekly,2
due,2
outstanding,2
exceptional,2
pleasant,2
drip,2
bottled,2
First,2
interior,2
oat,2
Cool,2
chill,2
Wonderful,2
ready,2
Awesome,2
impressive,2
last,2
Amazing,2
special,2
high,2
canned,2
ok,2
multiple,2
happy,2
creative,2
upcoming,2
diverse,2
pretty,2
solid,2
neat,2
industrial,1
soft,1
hatchet,1
obsessed,1
spiced,1
gingerbread,1
classy,1
funny,1
dreary,1
usual,1
bakery,1
sourced,1
left,1
common,1
passionate,1
unplugged,1
barista,1
valuable,1
enough,1
social,1
coffee/tea,1
to-die-for,1
spectacular,1
guest,1
double-sided,1
Friday-Sunday,1
“,1
event-no,1
least,1
angry,1
young,1
African,1
American,1
polite,1
certain,1
a.la,1
appropriate,1
average,1
half,1
initial,1
absured,1
unplug,1
efficacious,1
complete,1
neutral,1
similar,1
intended,1
plaza,1
front,1
ten,1
higher,1
soooo,1
quality,1
serious,1
thankful,1
Live,1
teas,1
public,1
present,1
straight,1
AMAZING,1
caffeine,1
consistent,1
rude,1
several,1
main,1
hard,1
terrible,1
couch,1
favourite,1
grand,1
third,1
Other,1
comfy,1
productive,1
welcome,1
odd,1
disrespectful,1
individual,1
stunning,1
unprecedented,1
understaff,1
Unable,1
slowest,1
physical,1
matcha,1
actual,1
remote,1
Fabulous,1
broad,1
elegant,1
Incredible,1
rare,1
Prefect,1
casual,1
Japanese,1
professional,1
welcomed,1
become,1
respectful,1
relaxing,1
playful,1
yummy,1
unreliable,1
upscale,1
Spectacular,1
bitter,1
curated,1
edible,1
thr,1
indoor,1
everyday,1
Wish,1
aesthetic,1
one-off,1
true,1
spacious,1
bean,1
latte,1
smoothest,1
bar/wine,1
dirty,1
@,1
sweetest,1
effective,1
likely,1
steep,1
unbeatable,1
instant,1
seating,1
acidic,1
vegan,1
closer,1
coolest,1
hottest,1
classic,1
curbside,1
Top,1
relaxed,1
sophisticated,1
bold,1
Resident,1
tough,1
definite,1
lemonade,1
bigger,1
tiny,1
latest,1
house-made,1
Pleasant,1
door,1
saturday,1
underrated,1
Counter,1
afraid,1
free,1
weak,1
separate,1
unused,1
brown,1
nicest,1
sister,1
atmosphere,1
unpleasant,1
arrogant,1
fair,1
eclectic,1
deli,1
hungry,1
fabulous,1
second,1
added,1
coupled,1
nosy,1
low,1
ratings-,1
break-,1
Much,1
lazy,1
Early,1
roomy,1
disappointing,1
nearby,1
significant,1
rustic/industrial,1
twisted,1
eccentric,1
fine,1
various,1
outdoor,1
coffee/cafe,1
liquid,1
sugar-in-the-raw,1
alternative,1
adorable,1
side,1
delicate,1
slick,1
kinda,1
grown,1
picky,1
gorgeous,1
delightful,1
baked,1
