Adjective,Count
great,15
good,10
open,7
glad,6
nice,5
excellent,5
delicious,4
live,4
ready,3
little,3
friendly,3
perfect,3
cool,3
new,3
better,3
free,2
French,2
awesome,2
enough,2
best,2
full,2
vegan,2
tasty,2
original,2
simple,2
local,2
Good,2
first,2
attentive,1
available,1
fantastic,1
to-go,1
nasty,1
smoothie,1
solid,1
interesting,1
canned,1
coolest,1
female,1
scrumptious,1
sure,1
second,1
seasonal,1
huge,1
mad,1
bitter,1
clean,1
cozy,1
relaxed,1
mixed,1
Great,1
[,1
quiet,1
Excellent,1
prior,1
contemporary,1
former,1
baked,1
daily,1
reasonable,1
pickup,1
double,1
artistic,1
approachable,1
excessive,1
dried,1
plenty,1
reach-in,1
on-site,1
alternative,1
non-alcoholic,1
many,1
closest,1
Safe,1
slow,1
massive,1
cute,1
negative,1
bistro,1
expensive,1
final,1
Comfortable,1
loud,1
Happy,1
spacious,1
iced,1
favorite,1
Overall,1
happy,1
wide,1
southern,1
AMAZING,1
old,1
absolute,1
super,1
atmosphere,1
excited,1
convenient,1
amazing,1
regular,1
private,1
small,1
sunshine,1
chicken,1
