Adjective,Count
great,79
good,73
friendly,32
delicious,30
local,28
little,24
nice,23
Good,19
super,18
amazing,16
Great,15
fresh,14
cheese,14
wonderful,13
best,12
new,12
cool,11
awesome,10
clean,10
much,10
Awesome,10
bad,9
fantastic,8
sweet,8
first,8
small,8
hidden,8
old,7
last,7
excellent,7
cold,7
Friendly,7
cute,7
favorite,7
sure,6
better,6
outstanding,6
full,6
unique,6
large,5
quick,5
homemade,5
Best,5
second,5
next,5
dry,5
different,4
open,4
reasonable,4
top,4
special,4
tasty,4
Toucan,4
hot,4
decent,4
west,4
worst,4
many,4
quaint,4
high,4
happy,3
long,3
available,3
casual,3
late,3
Excellent,3
half,3
green,3
personable,3
cheap,3
beaten,3
expensive,3
Wonderful,3
turkey,3
healthy,3
impressed,3
several,3
incredible,3
helpful,3
plentiful,3
less,2
Nice,2
chill,2
fine,2
affordable,2
southern,2
larger,2
normal,2
rude,2
big,2
regular,2
attentive,2
sandwich,2
horrible,2
able,2
everyday,2
awful,2
worth,2
low,2
bigger,2
twisted,2
personal,2
eclectic,2
First,2
Cool,2
on-site,2
atmosphere,2
gravy,2
comfortable,2
brunch,2
Better,2
Most,2
salad,2
least,2
daily,2
soft,2
red,2
single,2
disappointed,2
white,2
black,2
pecan,2
free,2
knowledgeable,2
terrible,2
2-3,2
wrong,2
delish,2
poor,2
compostable,2
generous,1
flavorful,1
important,1
mine,1
terrific,1
to-go,1
flimsy,1
huge,1
yummy,1
athletic,1
Regular,1
easy,1
coffee-,1
glad,1
unassuming,1
ready,1
covered,1
baked,1
western,1
Limited,1
slow,1
scramble,1
undercooked,1
whole,1
okay,1
beat,1
fresh-roasted,1
scratch-made,1
shoutout,1
entire,1
heaping,1
Western,1
unorganized,1
Spanish,1
basic,1
Last,1
extra,1
older,1
lucky,1
airy,1
eldest,1
beautiful,1
pancake,1
dog,1
Greek,1
shrimp,1
Superb,1
prepared,1
welcome,1
interesting,1
minute,1
fun,1
Overall,1
nagative,1
fluffy,1
quirky,1
inedible,1
girlfriend,1
conventional,1
Small,1
ineatable,1
solid,1
reusable,1
ill,1
chicken,1
thirty,1
buffalo,1
tad,1
buffalo-y,1
yellow,1
phenomenal,1
Casual,1
Island/Caribbean,1
sized,1
safest,1
fancy,1
wholesome,1
Simple,1
blue,1
grilled,1
divine,1
sticky,1
cozy,1
pleasant,1
trivia,1
fair,1
eager,1
classic,1
cordial,1
personalized,1
personalizada,1
amable,1
amigable,1
dark,1
espresso,1
popular,1
iced,1
ipa,1
soggy,1
Fantastic,1
breakfast,1
gon,1
flour,1
cooked,1
sustainable,1
eco,1
outside,1
satisfied,1
oh,1
sparse,1
cleaner,1
crazy,1
magic,1
unlikely,1
all-day,1
delightful,1
greasy,1
sick,1
hi,1
served,1
play,1
convenient,1
pretty,1
satisfying,1
polite,1
packed-out,1
enjoyed,1
certain,1
eggs,1
pan,1
store-bought,1
Favorite,1
gooood,1
Perfect,1
responsive,1
nonalcoholic,1
GREAT,1
skeptical,1
lunch,1
Other,1
recent,1
frills,1
confused,1
perfect,1
relaxing,1
AMAZING,1
bean,1
Independent,1
positive,1
leaving,1
third,1
flat,1
ridiculous,1
likely,1
funny,1
lower,1
willing,1
2-4,1
10-12,1
smaller,1
unprofessional,1
typical,1
cake-,1
Exceptional,1
Clean,1
veggie,1
frozen,1
burnt,1
consistent,1
average,1
salmon,1
sour,1
sugar,1
informed,1
real,1
Personable,1
potential,1
warm,1
inexcusable,1
visible,1
cardinal,1
Eye,1
wait,1
sad,1
write,1
overall,1
possible,1
thoughtful,1
Tasty,1
worse,1
rare,1
diverse,1
uptown,1
'go,1
brew,1
usual,1
avid,1
simple,1
Strong,1
exellent,1
Already,1
organic,1
gluten,1
unbeatable,1
👌,1
pricey,1
biodegradable,1
sh,1
busy,1
Local,1
soulful,1
scrumptious,1
inexpensive,1
Sure,1
in-house,1
roasted,1
courteous,1
Delish,1
adorable,1
welcomed,1
vegan,1
cafe,1
Went,1
n,1
superb,1
bike,1
participant,1
supportlocal,1
Such,1
filling,1
recyclable,1
nearby,1
balsamic,1
excited,1
Greatest,1
