Adjective,Count
good,31
delicious,28
great,21
nice,20
sweet,19
happy,13
little,10
Korean,10
Tous,9
much,9
best,9
soft,7
first,7
excited,7
helpful,6
super,6
fresh,6
better,6
favorite,5
Asian,5
friendly,4
strawberry,4
cloud,4
amazing,4
worth,4
tasty,4
many,4
Amazing,4
beautiful,4
open,4
cozy,3
reasonable,3
excellent,3
different,3
glad,3
disappointed,3
expensive,3
baked,3
Wonderful,3
garlic,3
clean,3
sure,3
second,3
bread,3
French,3
less,3
busy,3
Best,3
available,3
long,3
cute,3
free,3
perfect,3
unique,2
Overall,2
absolute,2
wonderful,2
fabulous,2
gorgeous,2
Good,2
Delicious,2
Great,2
least,2
awesome,2
cheese,2
Nice,2
bad,2
self-serve,2
single,2
cool,2
traditional,2
upstairs,2
warm,2
incredible,2
french,2
red,2
Fresh,2
ube,2
new,2
rude,2
awful,2
patient,2
top,2
blended,2
big,2
overall,2
whole,2
neat,2
hidden,1
wide,1
freshly,1
on-site,1
high-quality,1
efficient,1
exotic,1
quick,1
FABULOUS,1
old-time,1
wish,1
earlier,1
phenomenal,1
Such,1
full,1
Several,1
quality,1
pricier,1
place❤️Delicious,1
tiny,1
divine,1
next,1
individual,1
birthday,1
Low,1
olive,1
smooth,1
Most,1
delightful,1
hot,1
lukewarm,1
Large,1
enough,1
double,1
delectable,1
Delightful,1
yummy,1
Every,1
giant,1
old,1
loft,1
agradable,1
real,1
creamy,1
KOREAN,1
excelente,1
light,1
bright,1
American,1
diet,1
worthy,1
flavorful,1
to-go,1
chill,1
gross,1
mediocre,1
encantó,1
able,1
moist,1
fluffy,1
decent,1
interior,1
strong,1
sliced,1
Which,1
pandemic,1
related,1
attentive,1
dessert,1
unfriendly,1
RUDEST,1
slim,1
late,1
seasonal,1
small,1
informed,1
childish,1
completely,1
unprofessional,1
large,1
sour,1
plastic,1
finding,1
unorganized,1
sick,1
fair,1
Clean,1
unbelievable,1
esp,1
iced,1
milky,1
tasty-,1
disappointing,1
twisted,1
fried,1
usual,1
right,1
important,1
early,1
'soft,1
til,1
grand,1
limited,1
gluten,1
additional,1
sooo,1
【Cloud,1
original,1
smashed,1
jumbo,1
last,1
Free,1
unacceptable,1
nyc,1
pretty,1
marble,1
entire,1
unusual,1
weekly,1
aesthetic,1
More,1
wooden,1
authentic,1
larger,1
2nd,1
whipped,1
pleasant,1
soggy,1
lighter,1
WONDERFUL,1
sun,1
cafe,1
Beautiful,1
long-awaited,1
opening,1
너무,1
오픈일이라,1
시간이,1
Famous,1
