Adjective,Count
good,19
great,7
friendly,6
super,5
drip,5
espresso,4
brown,4
delicious,4
hot,4
nice,4
helpful,3
open,3
best,3
strong,3
wonderful,3
knowledgeable,2
Fantastic,2
seasonal,2
outside,2
optimist,2
sweet,2
awesome,2
top,2
iced,2
entire,2
different,2
Amazing,2
little,2
regular,2
next,2
positive,2
Incredible,2
weak,2
unique,2
sad,1
overall,1
Good,1
hotter,1
Next,1
slow,1
epic,1
overpriced,1
Undercurrent,1
big,1
particular,1
single,1
stellar,1
efficient,1
available,1
second,1
excellent,1
sparkling,1
demitasse,1
dr,1
interesting,1
many,1
glad,1
cold,1
dirty,1
golden,1
quick,1
cool,1
older,1
large,1
former,1
perfect,1
Other,1
tea,1
Excellent,1
enjoyed,1
attentive,1
spectacular,1
faster,1
absolute,1
similar,1
much,1
Great,1
original,1
close,1
delightful,1
disinterested,1
bad,1
creative,1
beautiful,1
outstanding,1
bitter,1
tasty,1
serious,1
oh-so-sweet,1
Average,1
special,1
long,1
irresponsible,1
disappointed,1
added,1
First,1
fantastic,1
smooth,1
pleasant,1
genuine,1
lot😹,1
rainy,1
simple,1
tad,1
general,1
whole,1
several,1
“,1
aware,1
poor,1
coffee,1
favorite,1
consistent,1
high,1
insulated,1
burnt,1
flavorful,1
rich,1
weaker,1
ready,1
small,1
current,1
solid,1
