Adjective,Count
great,75
good,71
nice,34
friendly,27
delicious,27
best,23
little,15
busy,12
Good,11
comfortable,10
excellent,10
next,8
favorite,8
cool,8
sweet,8
clean,8
amazing,8
Excellent,8
seasonal,7
hot,7
perfect,7
iced,7
cold,7
new,7
outdoor,7
cozy,7
quick,7
large,7
super,6
cute,6
free,6
helpful,6
sure,6
first,6
much,6
modern,6
Best,5
bad,5
open,5
wonderful,5
Great,5
outside,5
expensive,4
high,4
better,4
last,4
different,4
Friendly,4
incredible,4
latte,4
fantastic,4
avocado,4
Nice,4
early,4
knowledgeable,3
black,3
exceptional,3
real,3
many,3
small,3
due,3
healthy,3
Such,3
nearby,3
available,3
Most,3
second,3
short,3
natural,3
golden,3
safe,3
decent,3
interior,3
hard,3
least,3
Top,2
weird,2
crowded,2
Other,2
unique,2
limited,2
general,2
Incredible,2
creative,2
regular,2
multiple,2
enjoyable,2
consistent,2
less,2
worst,2
un,2
prepared,2
tasty,2
First,2
Overall,2
dark,2
quiet,2
neat,2
onyx,2
patient,2
Wonderful,2
solid,2
smooth,2
disappointed,2
daily,2
to-go,2
Undercurrent,2
pleasant,2
fair,2
trendy,2
tiny,2
efficient,2
fresh,2
delightful,2
light,2
third,2
right,2
casual,2
spiced,2
beautiful,2
individual,2
back,2
whole,2
poor,2
Fantastic,2
top,2
lovely,2
entire,2
spacious,2
wish,2
average,2
loose,2
leaf,2
Beautiful,2
Magical,1
white,1
suitable,1
感觉适合来姨妈喝,1
noisy,1
normal,1
tricky,1
cafe,1
hidden,1
fine,1
nibs,1
..,1
housemade,1
comfy,1
25-30,1
creamy,1
avo,1
phenomenal,1
Quiet,1
relaxing,1
inclusive,1
terrible,1
burnt,1
close,1
soothing,1
online,1
sample,1
Solid,1
quality,1
convenient,1
reliable,1
desperate,1
Delicious,1
mediocre,1
undrinkable,1
congested,1
overbuilt,1
inadequate,1
unrealistic,1
unicorn,1
plaza,1
que,1
una,1
buenas,1
empezar,1
también,1
así,1
mejor,1
extra,1
genuine,1
courteous,1
standard,1
Electrical,1
Little,1
Expensive,1
strong,1
flawless,1
interesting,1
coolest,1
inspiring,1
dependent,1
fabulous,1
giddy,1
ample,1
brown,1
Exceptional,1
single,1
Much,1
larger,1
big,1
Late,1
impromptu,1
✨amazing✨,1
Comfortable,1
OK,1
worse,1
baked,1
usual,1
adorable,1
gorgeous,1
barista,1
lucky,1
funny,1
”,1
perceptible,1
pricey,1
Decent,1
ready,1
calm,1
milky,1
spectacular,1
fun,1
weak,1
extraordinary,1
upper,1
young,1
easy,1
polite,1
homey,1
slow,1
antiquated,1
aesthetic,1
Cool,1
silver,1
green,1
gooooooddddd,1
covid,1
dog,1
grit,1
Easy,1
dangerous,1
pandemic,1
prefect,1
simple,1
Better,1
smaller,1
strange,1
awesome,1
Favorite,1
😬,1
Cute,1
lemon,1
Clean,1
inside,1
caffeinated,1
espresso+ice,1
biggest,1
bitter,1
hockey,1
quaint,1
low,1
professional,1
undesirable,1
“,1
imo,1
utensils,1
4-5,1
wall,1
busiest,1
tough,1
scrubbing/power,1
Wi-Fi,1
difficult,1
un'amica,1
bright,1
allergy,1
hangry,1
tasteful,1
full,1
Modern,1
coffee,1
stuff,1
loud,1
pet,1
obvious,1
smallest,1
impressed,1
drip,1
non-caffeinated,1
balanced,1
wrong,1
/,1
minimalistic,1
glossy/glass,1
main,1
absolute,1
gluten,1
Ethiopian,1
vegan/vegetarian,1
personal,1
inexorable,1
shady,1
Japanese,1
relaxed,1
loooove,1
collab,1
private,1
special,1
Amazing,1
pumpkin-y,1
subtle,1
informative,1
non-spiced,1
non,1
atmosphere,1
lunch,1
counter,1
hipster,1
possible,1
tall,1
bottomless,1
separate,1
correct,1
snobs,1
particular,1
eclectic,1
outstanding,1
basic,1
typical,1
citrusy,1
ripe,1
awkward,1
confrontational,1
familiar,1
non-sexual,1
noticeable,1
Seasonal,1
local,1
Onyx,1
winter,1
candied,1
matcha,1
banana,1
toast,1
exciting,1
delish,1
worth,1
public,1
unpretentious,1
overpriced,1
huge,1
millennial-focused,1
shameful,1
no-brainer,1
coffee-drink,1
able,1
top-notch,1
guilt-free,1
confident,1
oat,1
major,1
insulated,1
Premium,1
unripe,1
hospitable,1
fast,1
shot,1
Wish,1
earlier,1
insipid,1
lukewarm,1
shocked,1
underwhelming,1
past,1
