Adjective,Count
great,33
delicious,19
good,14
Greek,13
friendly,11
amazing,11
excellent,9
Good,7
perfect,7
best,7
nice,7
new,5
awesome,5
sure,5
wonderful,5
helpful,5
wine,4
many,4
Great,4
favorite,4
Amazing,4
sweet,4
little,4
fresh,4
outstanding,4
hot,4
attentive,3
tasty,3
Such,3
Fantastic,3
incredible,3
last,3
busy,3
super,3
authentic,3
first,2
atmosphere,2
free,2
fantastic,2
genuine,2
go-to,2
cozy,2
cafe,2
light,2
disappointed,2
top,2
better,2
greek,2
outdoor,2
special,2
much,2
hidden,2
Italian,2
warm,2
real,2
glad,2
iced,2
exceptional,2
small,1
quiet,1
full,1
👍🏾,1
Delicious,1
name,1
different,1
Working,1
wrong,1
latte,1
cheese,1
available,1
위한,1
regular,1
caprese,1
local,1
casual,1
true,1
restaurant,1
large,1
Incredible,1
fredo,1
absolute,1
short,1
spectacular,1
amongst,1
weekly,1
gentle,1
Fabulous,1
passionate,1
impeccable,1
seasonal,1
cold,1
strong,1
big,1
familiar,1
quick,1
outside,1
overall,1
hard,1
beside,1
Turkish,1
reasonable,1
catered,1
high,1
chill,1
Excellent,1
loud,1
Exceptional,1
long,1
low,1
comfortable,1
friendliest,1
welcome,1
Authentic,1
bad,1
roasted,1
welcomed,1
decent,1
decadent,1
indoor,1
Little,1
expensive,1
sweet/savory,1
willing,1
positive,1
dazzling,1
excited,1
European,1
Must,1
*,1
necessary,1
phenomenal,1
referral,1
difficult,1
double,1
frothed,1
frappe,1
next,1
second,1
fine,1
healthy,1
worth,1
terrific,1
gracious,1
Most,1
unique,1
quality,1
menu,1
Next,1
heavy,1
tzatziki,1
AMAZING,1
anywhere,1
