Adjective,Count
good,24
great,10
nice,9
friendly,7
sweet,7
super,6
Excellent,5
delicious,5
Good,5
amazing,5
iced,5
clean,4
helpful,4
best,4
little,4
favorite,3
wonderful,3
extra,3
thin,3
excellent,3
wrong,3
Great,3
several,3
better,3
comfortable,3
quick,3
pleasant,2
positive,2
professional,2
uptown,2
first,2
gorgeous,2
terrific,2
sure,2
dark,2
large,2
much,2
Top,2
airy,2
next,2
hot,2
fantastic,2
bitter,2
awesome,2
Vietnamese,2
beautiful,2
top,2
bad,2
strong,2
exquisite,1
encantó,1
el,1
multiple,1
welcoming,1
impressed,1
classic,1
disappointing,1
timely,1
open,1
overall,1
past,1
exact,1
atmosphere,1
excited,1
cold,1
laptop,1
isolated,1
table,1
dirty,1
depressed,1
elaborate,1
original,1
hopeful,1
strange,1
essential,1
sua,1
horrible,1
rich,1
robust,1
overpriced,1
AMAZING,1
freshest,1
red,1
regular,1
Excelent,1
baked,1
vegan,1
peaceful,1
inbetween,1
black,1
sour,1
sooo,1
generous,1
wont,1
single,1
negative,1
Convenient,1
eco,1
mean,1
cheese,1
addictive,1
important,1
tasted,1
personal,1
new,1
unimpressed,1
entire,1
vietnamese,1
rude,1
Friendly,1
cleaner,1
cute,1
mixed,1
enough,1
ive,1
top-notch,1
many,1
pressured,1
COVID-compliant,1
safe,1
snickerdoodle,1
courteous,1
numerous,1
croissant,1
recommend,1
adorable,1
consistent,1
colorful,1
knowledgable,1
different,1
Terrible,1
blue,1
yearly,1
decent,1
Big,1
pedestrian,1
pretty,1
knowledgeable,1
perfect,1
cafe,1
authentic,1
traditional,1
condensed,1
Free,1
Which,1
fast,1
Cute,1
Wonderful,1
reasonable,1
strawberry,1
healthy,1
Super,1
elegant,1
bright,1
phenomenal,1
haha,1
tasty,1
special,1
turbo,1
sandwich,1
fresh,1
flavorful,1
Waterbean,1
cozy,1
enthusiastic,1
uncomfortable,1
simple,1
rememberable,1
awful,1
non-dairy,1
non-soy,1
accessible,1
outside,1
slow-,1
for-,1
least,1
refund-,1
mocha,1
2nd,1
warm,1
terrible,1
'you,1
welcome,1
personable,1
on-,1
'beany,1
earthy,1
