Adjective,Count
great,37
good,34
nice,17
delicious,13
friendly,11
Good,10
Great,8
different,8
little,7
super,7
fresh,7
clean,7
awesome,7
best,7
sweet,6
first,6
quick,5
Vietnamese,5
iced,5
hot,5
amazing,5
Excellent,5
Friendly,5
French,5
extra,4
Nice,4
ice,4
cheese,4
sure,4
free,4
new,4
outside,3
worst,3
fantastic,3
helpful,3
strong,3
basic,3
bad,3
particular,3
glad,3
limited,3
much,3
Such,3
excellent,3
outdoor,3
local,3
better,3
second,2
condensed,2
hard,2
simple,2
awful,2
high,2
wonderful,2
huge,2
cute,2
soft,2
old,2
able,2
vegan,2
yummy,2
pregnant,2
next,2
inviting,2
Clean,2
smooth,2
fine,2
happy,2
informative,2
personable,2
certain,2
hidden,2
Amazing,2
knowledgeable,2
various,2
modern,2
south,2
single,2
cold,2
tasty,2
wrong,1
dry,1
beaten,1
tea,1
total,1
seasonal,1
peaceful,1
bite,1
quiet,1
“,1
confused,1
couple,1
Horrible,1
pumpkin,1
k-cup,1
artificial,1
Local,1
finest,1
Highly,1
orange-chocolate,1
perfect,1
excited,1
horrible,1
deli,1
safe,1
laziness,1
racial,1
polite,1
honest,1
convenient,1
difficult,1
coffee,1
past,1
learning,1
curdled,1
regrettable,1
mediocre,1
incredible,1
drip,1
lovely,1
birthday,1
green,1
Wonderful,1
pretty,1
Waterbean,1
white,1
First,1
Overall,1
unpleasant,1
Expensive,1
lyricless,1
successive,1
worse,1
sit,1
mobile,1
queen,1
favorite,1
spacious,1
pathetic,1
traditional,1
..,1
calm,1
small,1
interested,1
inside,1
patient,1
warm,1
natural,1
due,1
More,1
full,1
Free,1
excelente,1
gusta,1
distintos,1
libre,1
sorry,1
Helpful,1
miss,1
Ok,1
attentive,1
casual,1
Other,1
worth,1
Delicious,1
*,1
actual,1
lunch,1
airy,1
Happy,1
وافضل,1
added,1
bigger,1
open,1
welcoming,1
american,1
gluten,1
available,1
disappointed,1
weak,1
sandwich,1
flakey,1
slow,1
waterbean,1
typical,1
decent,1
tempting,1
craft,1
cool,1
Fantastic,1
independent,1
stellar,1
solid,1
wide,1
relaxing,1
plentiful,1
Modern,1
watery,1
undercooked,1
smaller,1
future,1
siphon,1
newly-made,1
espresso,1
allergic,1
ok,1
severe,1
additional,1
opposite,1
courteous,1
willing,1
famous,1
burnt,1
insane,1
sugary,1
outragous,1
serious,1
regular,1
adjacent,1
genuinely,1
outrageous,1
overpriced,1
