Adjective,Count
good,11
great,9
friendly,6
best,5
nice,4
Vietnamese,4
clean,4
bad,4
iced,4
Excellent,3
delicious,2
new,2
favorite,2
natural,2
Good,2
expensive,2
sweet,2
cute,2
sure,2
free,2
espresso,2
little,2
hot,2
high,2
famous,2
oz,2
outside,2
available,2
many,1
dog,1
pup,1
cozy,1
cold,1
dine-in,1
average,1
roasted,1
unique,1
Nice,1
cutest,1
fav,1
hip,1
Friendly,1
happy,1
entire,1
Waterbean,1
wrong,1
precise,1
hope,1
least,1
Small,1
Expensive,1
impressed,1
quiet,1
baked,1
intimate,1
modern,1
late,1
huge,1
easy,1
enough,1
vegan,1
gluten,1
impeccable,1
light-roast,1
acidic,1
tasty,1
Amazing,1
multiple,1
main,1
afraid,1
certain,1
20-25,1
different,1
follow,1
wonderful,1
several,1
small,1
last,1
special,1
Great,1
sunny,1
bright,1
hard,1
Other,1
umbrellas,1
affordable,1
black,1
yr,1
movingon,1
rude,1
inconsiderate,1
fair,1
strong,1
inside,1
glad,1
Wish,1
bitter,1
right,1
Ice,1
with-,1
sluggish,1
recent,1
next,1
super,1
REAL,1
Best,1
