Adjective,Count
great,57
good,37
delicious,23
nice,21
friendly,21
loose,21
little,20
local,16
amazing,12
favorite,9
perfect,9
small,8
wonderful,8
best,8
Great,8
quiet,8
fresh,8
sweet,8
leaf,8
clean,7
much,7
Good,7
tea,7
large,6
cozy,6
many,6
first,6
super,6
Friendly,6
helpful,6
different,6
knowledgeable,6
decent,5
free,5
lovely,5
new,5
hot,5
comfortable,5
pleasant,5
First,5
cold,5
awesome,5
able,4
unique,4
peaceful,4
whole,4
Excellent,4
big,4
chill,4
excellent,4
u,4
busy,3
bad,3
French,3
fantastic,3
regular,3
least,3
Nice,3
iced,3
bitter,3
next,3
happy,3
wide,3
open,3
incredible,3
quick,3
beautiful,3
available,3
Wonderful,3
sure,2
modern,2
white,2
industrial,2
cool,2
Amazing,2
relaxed,2
sweetest,2
last,2
second,2
hard,2
daily,2
special,2
grilled,2
balsamic,2
popular,2
phenomenal,2
long,2
cute,2
informative,2
original,2
avocado,2
tasty,2
prepared,2
spacious,2
Beautiful,2
side,2
spectacular,2
better,2
flavorful,2
several,2
recommended,2
Best,2
black,2
espresso,2
teas,2
thicker,1
normal,1
sugar-free,1
horrible,1
nauseous,1
waterbean,1
esthetic,1
latteas,1
comfy,1
skeptical,1
boring,1
bummer,1
Waterbean,1
holiday-themed,1
tastiest,1
biased,1
previous,1
disappointing,1
dirty,1
empty,1
heavy,1
terrible,1
disgusted,1
hardest,1
unorganized,1
upscale,1
classy,1
Clean,1
sad,1
robust,1
nicest,1
Added,1
downtown,1
slower,1
strawberry,1
green,1
mild,1
boiled,1
burnt/over,1
consistent,1
pizza,1
salad,1
dry,1
present,1
kept,1
GREAT,1
meatal,1
library,1
third,1
Highly,1
listen,1
salty,1
Second,1
lunchtime,1
Limited,1
indoor,1
sofa,1
cafe,1
chicken,1
blue,1
table,1
neat,1
sandwich,1
teddy,1
bear,1
absolute,1
tiny,1
uncomfortable,1
short,1
metal,1
immense,1
true,1
hidden,1
finest,1
routine,1
extraordinary,1
AMAZING,1
massive,1
premium,1
standard,1
advanced,1
plz,1
wear,1
pandemic,1
complete,1
adorable,1
calming,1
Extensive,1
creative,1
current,1
nutritional,1
👍,1
young,1
luke-warm,1
trained,1
hopeful,1
concerned,1
Overall,1
worth,1
charming,1
google,1
public,1
covid,1
entire,1
savory,1
Almost,1
guest,1
pleased,1
flavored,1
interesting,1
healthy,1
delectable,1
wax,1
cheese,1
fabulous,1
flipping,1
breve,1
Regular,1
outstanding,1
proper,1
anniversary,1
mind,1
Spacious,1
gluten,1
dine-in,1
Family-owned,1
nearby,1
gingerbread,1
herbal,1
operated,1
scrumptious,1
Favorite,1
Knowledgeable,1
Same,1
enough,1
thankful,1
extensive,1
handmade,1
Decent,1
fast,1
extra,1
red,1
Ample,1
Comfortable,1
rosemary,1
top,1
easy,1
on-site,1
tastey,1
Such,1
Happy,1
casual,1
weekday,1
yummy,1
Most,1
wellness,1
pumpkin,1
bread,1
positive,1
personable,1
reasonable,1
impressive,1
glad,1
Casual,1
overburnt,1
Chic,1
Perfect,1
..,1
Fresh,1
smaller,1
Awesome,1
welcoming,1
cheap,1
Large,1
experienced,1
warm,1
cup,1
