Adjective,Count
good,13
great,9
nice,4
many,3
friendly,3
little,3
best,3
Good,2
tasty,2
tea,2
Great,2
super,2
delicious,2
Friendly,2
amazing,2
hot,2
smooth,2
sweet,2
happy,2
pretty,1
average,1
“,1
snow,1
incredible,1
creative,1
canned,1
sad,1
mixed,1
disappointing,1
sweeter,1
awesome,1
slow,1
Little,1
disorganized,1
cafe,1
uptown,1
natural,1
remote,1
efficient,1
timely,1
hustle,1
Decent,1
right,1
next,1
crumble,1
choose,1
warm,1
lemon,1
satisfying,1
limited,1
comfortable,1
basic,1
outside,1
matcha,1
gross,1
grainy,1
overall,1
nasty,1
ordered,1
specific,1
classier,1
long,1
cool,1
fresh-baked,1
longer,1
Dutch,1
cold,1
visual,1
Excelent,1
Beautiful,1
special,1
strong,1
Best,1
Wonderful,1
knowledgeable,1
exact,1
accessible,1
high,1
loose,1
leaf,1
polite,1
Such,1
iced,1
agradable,1
mal,1
open,1
baddest,1
picky,1
unique,1
helpful,1
reasonable,1
particular,1
wide,1
convenient,1
