Adjective,Count
good,52
great,51
nice,46
fresh,39
clean,35
helpful,33
organic,29
whole,29
Whole,25
hot,25
friendly,24
Great,24
healthy,17
Good,16
new,16
expensive,16
high,15
best,14
many,14
Clean,11
little,10
different,10
first,9
available,9
local,9
vegan,8
delicious,8
easy,8
favorite,8
Excellent,8
bad,8
reasonable,8
much,8
awesome,7
specific,7
prepared,7
free,6
quick,6
happy,6
unique,6
knowledgeable,6
special,6
excellent,6
large,6
better,6
cold,6
second,6
sure,5
wide,5
valid,5
small,5
higher,5
disappointed,4
long,4
several,4
busy,4
pleasant,4
Beautiful,4
terrible,4
least,4
Other,4
Fantastic,4
old,3
polite,3
open,3
go-to,3
decent,3
entire,3
next,3
prime,3
wrong,3
spectacular,3
impressed,3
extra,3
less,3
Best,3
biggest,3
Most,3
disappointing,3
pricey,3
rude,3
Terrible,3
low,3
super,3
First,3
social,3
safe,3
particular,3
Amazing,3
outstanding,3
Nice,3
healthier,3
salad,3
smaller,3
Japanese,3
Expensive,2
electric,2
gluten,2
natural,2
worth,2
personal,2
remarkable,2
close,2
able,2
perfect,2
“,2
familiar,2
freshest,2
usual,2
veggy,2
cheerful,2
worst,2
finest,2
tasty,2
multiple,2
upstairs,2
typical,2
actual,2
Wish,2
sad,2
regular,2
awful,2
wonderful,2
extensive,2
wine,2
staffed,2
nutritious,2
limited,2
substantial,2
beautiful,2
gluten-free,2
amazon,2
hard,2
white,2
cool,2
thier,2
unable,2
pandemic,2
creative,2
huge,2
Friendly,2
amazing,2
salty,2
fabulous,2
fantastic,2
impeccable,2
last,2
similar,2
..,2
due,2
certain,2
original,2
cheese,2
deli,2
airy,2
nicer,2
Korean,2
newest,2
sanitary,2
Awesome,2
overpriced,2
cheaper,2
likely,2
noodle,2
frozen,2
bright,2
third-party,1
Special,1
stale,1
proprietary,1
real,1
loved,1
rosemary,1
key,1
self-service,1
produtos,1
shop,1
dedicated,1
associate,1
online,1
right,1
artisan,1
shows…Every,1
vibrant,1
consistent,1
impressive,1
Rich,1
grown,1
front,1
there…the,1
Sunny,1
digest,1
@,1
waffle,1
certified,1
soya,1
homeopathic,1
pet,1
ive,1
Continuous,1
unsweetened,1
crazy,1
los,1
abysmal,1
avocados,1
meat,1
conventional,1
bar,1
anywhere,1
various,1
harmful,1
Unable,1
lit,1
barbeque,1
self-served,1
Freshest,1
lactose-free,1
Several,1
upscale,1
world-famous,1
charcuterie,1
pumpkin,1
prompt,1
ultra,1
absolute,1
easier,1
vertical,1
immense,1
simple,1
eatable,1
indignant,1
cashier,1
230-6907,1
Healthy,1
younger,1
grouchy,1
mean,1
hole,1
horizontal,1
exact,1
sugar,1
twin,1
common,1
difficult,1
scan,1
convenient,1
hungry,1
.....,1
scarce,1
irrational,1
Rotska-rukk,1
Scooby-doo,1
commonplace,1
orderly,1
organised,1
informative,1
sandwich,1
floral,1
scary,1
identifiable,1
hit/miss,1
3-4,1
Safe,1
Knowledgeable,1
willing,1
poor,1
veranda,1
Pretty,1
follow,1
vitamin,1
ONLY,1
seldom,1
clientele,1
initiative,1
fine,1
aisle,1
pure,1
indescribable,1
Overall,1
meal,1
Waverly,1
ok,1
exceptional,1
ready,1
Solid,1
expenseive,1
tough,1
pitiful,1
shabby,1
skipped,1
fried,1
shrimp,1
dairy,1
enough,1
slow,1
chatty,1
ten,1
expired,1
comparable,1
artificial,1
sustainable,1
anyra,1
select,1
Cute,1
exquisite,1
uptown,1
improper,1
u,1
chick,1
wholefood,1
thin,1
thick,1
pretty,1
general,1
minimal,1
donated,1
bubble,1
authentic,1
love,1
weekly,1
major,1
true,1
professional,1
phenomenal,1
larger,1
Brand-new,1
wrong-,1
otganic,1
debris,1
diet,1
cheap,1
ongoing,1
Many,1
outside,1
big,1
tried,1
fired,1
luck,1
nose,1
ta,1
high-price,1
okay,1
interesting,1
eating,1
cultural,1
fish,1
gelato,1
aware,1
important,1
Fresh,1
horrible,1
single,1
iam,1
loud,1
full,1
competitive,1
Easy,1
spacious,1
traditional,1
kept,1
vegetarian,1
normal,1
Large,1
wholeness,1
sorry,1
complete,1
molded,1
corporate,1
revised,1
final,1
premium,1
MORE,1
live,1
hand-washing,1
out…the,1
south,1
Small,1
Wonderful,1
yellowish,1
empty,1
empowered,1
over-rated,1
unusual,1
Obnoxious,1
massive,1
esa,1
