Adjective,Count
great,75
good,54
fresh,45
Whole,45
friendly,35
hot,33
whole,29
nice,28
expensive,27
organic,27
helpful,26
Good,26
little,24
clean,24
healthy,21
Great,19
favorite,16
best,15
better,14
many,13
high,12
delicious,12
much,12
sure,11
available,11
small,11
first,10
salad,9
excellent,9
new,8
bad,8
happy,8
prepared,8
vegan,8
cold,8
awesome,8
worth,7
young,7
last,7
super,7
free,6
busy,6
Best,6
full,6
wonderful,6
cheese,6
less,6
Clean,5
big,5
able,5
decent,5
least,5
Wonderful,5
pricey,5
particular,4
old,4
disappointing,4
simple,4
sorry,4
rude,4
polite,4
anywhere,4
different,4
huge,4
vegetarian,4
amazing,4
prime,4
open,4
unique,4
several,4
lower,4
long,4
wrong,4
wild,4
Excellent,4
local,4
usual,4
wide,4
affordable,3
Terrible,3
Expensive,3
uptown,3
white,3
knowledgeable,3
real,3
pleasant,3
Beautiful,3
careful,3
loft,3
daily,3
bigger,3
short,3
disappointed,3
natural,3
First,3
impressed,3
steep,3
Friendly,3
interesting,3
personal,3
tough,3
Nice,3
ok,3
AMAZING,3
quick,3
overall,3
sweet,3
due,3
perfect,3
extra,3
larger,3
tasty,3
everyday,3
worst,3
Big,3
empty,2
main,2
average,2
Wish,2
gluten,2
disabled,2
stellar,2
excited,2
Ample,2
grocery,2
Last,2
subpar,2
clear,2
specialty,2
surprised,2
Awesome,2
early,2
Most,2
reasonable,2
next,2
strong,2
ripe,2
cheaper,2
similar,2
tiny,2
Organic,2
safe,2
uncomfortable,2
miserable,2
caucasian,2
fair,2
non,2
pandemic,2
green,2
live,2
slow,2
fancy,2
rotten,2
crazy,2
past,2
wine,2
sandwich,2
overpriced,2
cooking,2
fantastic,2
Helpful,2
cool,2
go-to,2
special,2
top,2
attached,2
gorgeous,2
thank,2
outside,2
second,2
Fresh,2
willing,2
tricky,2
auch,2
Top,2
unhealthy,2
normal,2
☆,2
High,2
Pre-cooked,1
random,1
understocked,1
arrogant,1
bread,1
poor,1
pathetic,1
entitled,1
terrible,1
horrible,1
close,1
17-,1
individual,1
digest,1
probiotic,1
stable,1
Went,1
Bottom,1
pitiful,1
black,1
Harris-,1
wish,1
sick,1
pre-made,1
elevated,1
label,1
appropriate,1
fish,1
impossible,1
hypocritical,1
unhelpful,1
dismissive,1
inexperienced,1
okay,1
retail,1
EVERY,1
sketchy,1
important,1
curious,1
esta,1
alguien,1
necesita,1
es,1
otra,1
reputed,1
“,1
understanding,1
tip,1
amazon,1
mean,1
loud,1
12-7-21,1
right,1
fast,1
pleased,1
nasty,1
Knowledgeable,1
☺,1
bare,1
smaller,1
lactose,1
slim,1
difficult,1
beautiful,1
unclear,1
various,1
ready,1
More,1
convenient,1
neat,1
specific,1
near-by,1
trained,1
light,1
NY,1
rough,1
moldy,1
fragrance,1
additional,1
algo,1
brown,1
Russian,1
hungry,1
senior,1
Many,1
truly,1
phenomenal,1
positive,1
floral,1
southern,1
impeccable,1
female,1
”,1
....,1
competent,1
Such,1
climaxed,1
multiple,1
