Adjective,Count
great,139
good,106
Good,68
best,36
nice,35
favorite,30
Great,25
awesome,25
friendly,21
delicious,18
little,17
new,17
Best,17
busy,15
outdoor,14
local,13
cheese,13
cool,13
sour,12
first,12
outside,11
fantastic,11
Nice,11
bad,11
sure,10
amazing,9
super,9
big,8
decent,8
Excellent,8
excellent,7
full,7
small,7
top,7
many,7
Awesome,6
open,6
worth,6
Twisted,6
better,6
next,6
available,5
large,5
phenomenal,5
rude,5
tasty,5
pretty,5
young,5
atmosphere,5
wrong,5
much,5
sweet,4
old,4
Fantastic,4
different,4
overall,4
several,4
last,4
private,4
wonderful,4
real,4
due,4
long,4
wooden,4
clean,3
right,3
“,3
wide,3
indoor,3
Friendly,3
quick,3
Wonderful,3
impressed,3
Favorite,3
solid,3
perfect,3
heavy,3
Cool,3
second,3
warm,3
special,3
tap,3
greasy,3
Overall,3
ok,3
popular,3
creative,3
beautiful,3
twisted,3
Wish,3
enjoyable,2
extra,2
true,2
normal,2
dry,2
early,2
high,2
spacious,2
sambal,2
unique,2
Amazing,2
incredible,2
huge,2
fried,2
Incredible,2
hard,2
wish,2
older,2
multiple,2
short,2
safe,2
go-to,2
pleasant,2
fresh,2
knowledgeable,2
informative,2
on-site,2
free,2
smaller,2
Solid,2
disappointing,2
double,2
attentive,2
innovative,2
light,2
Belgian,2
American,2
hoppy,2
whole,2
impressive,2
Most,2
diverse,2
interesting,2
Decent,2
tough,2
helpful,2
extensive,2
separate,2
raw,2
tight,2
hungry,2
Other,2
close,2
quiet,2
industrial,2
Such,2
soggy,2
seasonal,2
sound,2
strange,2
ample,1
prickly,1
expansive,1
fabulous,1
slow,1
north,1
specific,1
positive,1
happy,1
fitting,1
size-,1
black,1
greater,1
French,1
crumble,1
helmanns,1
certain,1
easy,1
difficult,1
tremendous,1
unexpected,1
👌,1
garlic,1
buffalo,1
psychic,1
west,1
varied,1
educated,1
regular,1
soft,1
delish,1
Busy,1
hilarious,1
geared,1
condescending,1
possive,1
public,1
needless,1
feild,1
vegetarian,1
efficient,1
funny,1
cold,1
accessible,1
Phenomenal,1
trivia,1
place,1
welcome,1
norm,1
hazier,1
dish,1
bland,1
half,1
plain,1
unnecessarily,1
inappropriate,1
unnecessary,1
actual,1
7-Eleven,1
recommend,1
nice/attentive,1
Russian,1
pretzel,1
past,1
brewery,1
polite,1
extreme,1
unmatched,1
aggressive,1
handle,1
tart,1
reasonable,1
Perfect,1
dog,1
outrageous,1
cheaper,1
quirky,1
walk-able,1
too-,1
lively,1
newest,1
pop,1
na,1
*,1
sunday,1
plus,1
loyal,1
give,1
able,1
back,1
Third,1
honest,1
Only,1
inspired,1
ale,1
simple,1
midscale,1
imperial,1
younger,1
trendy,1
overwhelmed,1
typical,1
poor,1
tree,1
out-selfy,1
plastic,1
arrial,1
ten,1
male,1
sad,1
OK,1
ready,1
Lame,1
First,1
communal,1
boozier/high,1
various,1
traditional,1
mad,1
frozen,1
parmesan,1
truffle,1
spicy,1
absolute,1
relaxed,1
largest,1
eclectic,1
terrific,1
smoked,1
uncomfortable,1
fun,1
Beautiful,1
picnic,1
main,1
crowded,1
flavored,1
Low,1
unwelcoming,1
b.u.t,1
.......,1
Terrible,1
unseasoned,1
gross,1
Last,1
edamae,1
patio,1
humble,1
fast,1
Sour,1
gf,1
expensive,1
table,1
sooo,1
sweeter,1
More,1
limited,1
restaurant,1
disappointed,1
lacked,1
cheesy,1
outstanding,1
worst,1
Better,1
sick,1
empty,1
stellar,1
tricky,1
packed,1
choosy,1
enough,1
worse,1
learning,1
bitter,1
elegant,1
try,1
mandatory,1
chill,1
social,1
fair,1
inside,1
adventurous,1
fiid-truck,1
lame,1
flat,1
tasteless,1
2-3,1
afraid,1
dark,1
southern,1
Typical,1
chic,1
as-advertized,1
off-putting,1
unappetizing,1
flavorful,1
waffle,1
inedible,1
biggest,1
front,1
Comfortable,1
handsome,1
comfortable,1
energetic,1
ice,1
Regular,1
weekly,1
Brilliant,1
stunning,1
strong,1
serious,1
cheerful,1
millennial,1
kewl,1
Delicious,1
mocha,1
lamb,1
robot,1
ostentatious,1
progressive,1
occasional,1
crazy,1
Sweet,1
crowd,1
infused,1
queen,1
busier,1
vanilla,1
quadruple,1
line-up,1
atypical,1
interesting-,1
nice-,1
crisp,1
wood/industrial,1
random,1
overwhelming,1
red,1
ale-,1
loud,1
wine,1
individual,1
less,1
